COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_PER,O_DEPENDENCY_PER,O_A0A14_A15A65_PER,O_A65UP_A15A64_PER,O_A65_A0A14_PER,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口比率,原住民人口扶養比,原住民人口扶幼比,原住民人口扶老比,原住民人口老化指數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,0.65,57.14,57.14,0,0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-003,赤松里,0.6,100.0,100.0,0,0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-004,黃石里,0.31,33.33,33.33,0,0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-005,挹秀里,0.55,37.5,25.0,12.5,50.0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-006,湳興里,0.94,35.14,27.03,8.11,30.0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-007,新興里,0.59,18.75,12.5,6.25,50.0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-008,社後里,1.14,31.76,24.71,7.06,28.57,"109Y12M"
65000,新北市,65000010,板橋區,65000010-009,香社里,1.04,21.62,16.22,5.41,33.33,"109Y12M"
65000,新北市,65000010,板橋區,65000010-010,中正里,0.67,66.67,47.62,19.05,40.0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-011,自強里,0.55,31.82,27.27,4.55,16.67,"109Y12M"
65000,新北市,65000010,板橋區,65000010-012,自立里,0.63,125.0,125.0,0,0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-013,光華里,0.58,14.29,7.14,7.14,100.0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-014,國光里,0.61,9.52,9.52,0,0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-015,港尾里,0.69,40.0,40.0,0,0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-016,金華里,0.42,54.55,45.45,9.09,20.0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-017,港德里,0.74,38.46,30.77,7.69,25.0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-018,民權里,0.45,71.43,71.43,0,0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-019,建國里,0.44,77.78,66.67,11.11,16.67,"109Y12M"
65000,新北市,65000010,板橋區,65000010-020,漢生里,0.45,25.0,25.0,0,0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-021,公F里,0.67,50.0,44.44,5.56,12.5,"109Y12M"
65000,新北市,65000010,板橋區,65000010-022,新民里,0.41,90.0,90.0,0,0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-023,幸福里,0.57,35.29,29.41,5.88,20.0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-024,忠誠里,0.65,93.33,60.0,33.33,55.56,"109Y12M"
65000,新北市,65000010,板橋區,65000010-025,百壽里,0.56,54.55,45.45,9.09,20.0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-026,介壽里,0.61,25.0,12.5,12.5,100.0,"109Y12M"
65000,新北市,65000010,板橋區,65000010-027,新埔里,0.51,83.33,66.67,16.67,25.0,"109Y12M"
