COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_PER,O_DEPENDENCY_PER,O_A0A14_A15A65_PER,O_A65UP_A15A64_PER,O_A65_A0A14_PER,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口比率,原住民人口扶養比,原住民人口扶幼比,原住民人口扶老比,原住民人口老化指數,資料時間
65000,新北市,65000050,新莊區,65000050-035,民本里,1.85,21.28,14.89,6.38,42.85,110Y12M
65000,新北市,65000050,新莊區,65000050-036,化成里,0.73,11.54,11.54,0,0,110Y12M
65000,新北市,65000050,新莊區,65000050-037,立志里,0.83,22.22,18.52,3.7,20,110Y12M
65000,新北市,65000050,新莊區,65000050-038,光華里,1.36,44.44,36.11,8.33,23.08,110Y12M
65000,新北市,65000050,新莊區,65000050-039,思賢里,1.1,65.51,62.07,3.45,5.56,110Y12M
65000,新北市,65000050,新莊區,65000050-040,營盤里,0.86,66.66,55.55,11.11,20,110Y12M
65000,新北市,65000050,新莊區,65000050-041,光榮里,1.27,27.66,21.28,6.38,30,110Y12M
65000,新北市,65000050,新莊區,65000050-042,自強里,1.4,42.31,42.31,0,0,110Y12M
65000,新北市,65000050,新莊區,65000050-043,丹鳳里,2.58,31.52,21.74,9.78,45,110Y12M
65000,新北市,65000050,新莊區,65000050-044,光明里,2.9,36.94,21.62,15.32,70.83,110Y12M
65000,新北市,65000050,新莊區,65000050-045,自立里,2.1,47.44,44.87,2.56,5.71,110Y12M
65000,新北市,65000050,新莊區,65000050-046,合鳳里,2.52,47.5,38.75,8.75,22.58,110Y12M
65000,新北市,65000050,新莊區,65000050-047,幸福里,0.81,44,32,12,37.5,110Y12M
65000,新北市,65000050,新莊區,65000050-048,雙鳳里,2.84,37.45,31.66,5.79,18.29,110Y12M
65000,新北市,65000050,新莊區,65000050-049,自信里,1,47.06,47.06,0,0,110Y12M
65000,新北市,65000050,新莊區,65000050-050,龍鳳里,1.53,45.22,39.13,6.09,15.56,110Y12M
65000,新北市,65000050,新莊區,65000050-051,中華里,0.71,16.67,11.11,5.56,49.98,110Y12M
65000,新北市,65000050,新莊區,65000050-052,中隆里,0.93,64.51,45.16,19.35,42.85,110Y12M
65000,新北市,65000050,新莊區,65000050-053,中原里,0.58,35,26.67,8.33,31.25,110Y12M
65000,新北市,65000050,新莊區,65000050-054,中信里,0.89,36.67,23.33,13.33,57.14,110Y12M
65000,新北市,65000050,新莊區,65000050-055,四維里,1.94,38.81,35.82,2.99,8.33,110Y12M
65000,新北市,65000050,新莊區,65000050-056,建福里,1.13,33.33,28.57,4.76,16.66,110Y12M
65000,新北市,65000050,新莊區,65000050-057,中宏里,1.12,13.51,8.11,5.41,66.64,110Y12M
65000,新北市,65000050,新莊區,65000050-058,中全里,1.21,29.41,23.53,5.88,25,110Y12M
65000,新北市,65000050,新莊區,65000050-059,立泰里,0.79,24.24,24.24,0,0,110Y12M
65000,新北市,65000050,新莊區,65000050-060,全泰里,0.38,11.76,11.76,0,0,110Y12M
65000,新北市,65000050,新莊區,65000050-061,仁義里,1.25,34.28,31.43,2.86,9.09,110Y12M
65000,新北市,65000050,新莊區,65000050-062,立基里,0.69,22.86,20,2.86,14.28,110Y12M
65000,新北市,65000050,新莊區,65000050-063,昌明里,0.73,58.82,52.94,5.88,11.11,110Y12M
65000,新北市,65000050,新莊區,65000050-064,昌平里,0.92,59.61,50,9.62,19.23,110Y12M
65000,新北市,65000050,新莊區,65000050-065,文聖里,1,25,21.43,3.57,16.66,110Y12M
65000,新北市,65000050,新莊區,65000050-066,萬安里,1.54,23.4,23.4,0,0,110Y12M
65000,新北市,65000050,新莊區,65000050-067,龍安里,1.71,57.69,46.15,11.54,25,110Y12M
65000,新北市,65000050,新莊區,65000050-068,福營里,0.95,15,15,0,0,110Y12M
65000,新北市,65000050,新莊區,65000050-069,後德里,1.41,37.5,28.12,9.37,33.33,110Y12M
65000,新北市,65000050,新莊區,65000050-070,建安里,0.92,26,24,2,8.33,110Y12M
65000,新北市,65000050,新莊區,65000050-071,成德里,2.07,37.97,32.91,5.06,15.38,110Y12M
65000,新北市,65000050,新莊區,65000050-072,福興里,1.39,50.88,47.37,3.51,7.41,110Y12M
65000,新北市,65000050,新莊區,65000050-073,昌信里,0.55,29.41,29.41,0,0,110Y12M
65000,新北市,65000050,新莊區,65000050-074,昌隆里,0.84,22.58,22.58,0,0,110Y12M
65000,新北市,65000050,新莊區,65000050-075,中平里,0.98,40.58,28.99,11.59,40,110Y12M
65000,新北市,65000050,新莊區,65000050-076,立廷里,0.73,41.18,35.29,5.88,16.67,110Y12M
65000,新北市,65000050,新莊區,65000050-077,泰豐里,1.79,39.39,33.33,6.06,18.18,110Y12M
65000,新北市,65000050,新莊區,65000050-078,富民里,2.29,52.54,49.15,3.39,6.9,110Y12M
65000,新北市,65000050,新莊區,65000050-079,龍福里,3.8,22.53,19.72,2.82,14.28,110Y12M
65000,新北市,65000050,新莊區,65000050-080,祥鳳里,3.39,27.54,26.09,1.45,5.56,110Y12M
65000,新北市,65000050,新莊區,65000050-081,民全里,2.26,23.94,16.9,7.04,41.66,110Y12M
65000,新北市,65000050,新莊區,65000050-082,民有里,1.74,50,37.5,12.5,33.33,110Y12M
65000,新北市,65000050,新莊區,65000050-083,光正里,1.63,77.27,68.18,9.09,13.33,110Y12M
65000,新北市,65000050,新莊區,65000050-084,光和里,1.62,38.23,26.47,11.76,44.44,110Y12M
65000,新北市,65000060,新店區,65000060-001,國豐里,1.02,45.45,36.36,9.09,25,110Y12M
65000,新北市,65000060,新店區,65000060-002,明德里,0.94,19.35,16.13,3.23,20,110Y12M
65000,新北市,65000060,新店區,65000060-003,大豐里,0.52,46.15,23.08,23.08,99.97,110Y12M
65000,新北市,65000060,新店區,65000060-004,大同里,0.65,56.25,50,6.25,12.5,110Y12M
65000,新北市,65000060,新店區,65000060-005,江陵里,0.35,46.15,15.38,30.77,199.9,110Y12M
65000,新北市,65000060,新店區,65000060-006,寶興里,0.51,33.33,28.57,4.76,16.66,110Y12M
65000,新北市,65000060,新店區,65000060-007,寶安里,0.58,106.66,46.66,60,128.55,110Y12M
65000,新北市,65000060,新店區,65000060-008,信義里,0.54,34.61,23.08,11.54,49.99,110Y12M
