COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_PER,O_DEPENDENCY_PER,O_A0A14_A15A65_PER,O_A65UP_A15A64_PER,O_A65_A0A14_PER,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口比率,原住民人口扶養比,原住民人口扶幼比,原住民人口扶老比,原住民人口老化指數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,0.49,33.33,33.33,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-002,流芳里,0.07,0,0,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-003,赤松里,0.75,33.33,33.33,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-004,黃石里,0.38,24.99,24.99,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-005,挹秀里,0.36,16.66,16.66,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-006,湳興里,0.85,37.5,28.12,9.37,33.33,111Y12M
65000,新北市,65000010,板橋區,65000010-007,新興里,0.72,35.29,17.65,17.65,99.97,111Y12M
65000,新北市,65000010,板橋區,65000010-008,社後里,0.99,29.73,16.22,13.51,83.33,111Y12M
65000,新北市,65000010,板橋區,65000010-009,香社里,1,15.38,12.82,2.56,20,111Y12M
65000,新北市,65000010,板橋區,65000010-010,中正里,0.92,75.67,64.86,10.81,16.67,111Y12M
65000,新北市,65000010,板橋區,65000010-011,自強里,0.57,52.63,42.1,10.53,25,111Y12M
65000,新北市,65000010,板橋區,65000010-012,自立里,0.58,128.55,128.55,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-013,光華里,0.53,7.69,0,7.69,0,111Y12M
65000,新北市,65000010,板橋區,65000010-014,國光里,0.52,5.56,5.56,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-015,港尾里,0.79,35.29,35.29,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-016,金華里,0.43,54.54,45.45,9.09,20,111Y12M
65000,新北市,65000010,板橋區,65000010-017,港德里,0.53,13.64,13.64,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-018,民權里,0.49,85.7,85.7,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-019,建國里,0.43,87.49,74.99,12.5,16.66,111Y12M
65000,新北市,65000010,板橋區,65000010-020,漢生里,0.37,14.28,14.28,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-021,公■里,0.66,44.44,38.89,5.56,14.28,111Y12M
65000,新北市,65000010,板橋區,65000010-022,新民里,0.55,56.25,50,6.25,12.5,111Y12M
65000,新北市,65000010,板橋區,65000010-023,幸福里,0.67,58.82,52.94,5.88,11.11,111Y12M
65000,新北市,65000010,板橋區,65000010-024,忠誠里,0.65,75,37.5,37.5,99.98,111Y12M
65000,新北市,65000010,板橋區,65000010-025,百壽里,0.57,88.88,66.66,22.22,33.33,111Y12M
65000,新北市,65000010,板橋區,65000010-026,介壽里,0.62,66.66,41.66,25,59.99,111Y12M
65000,新北市,65000010,板橋區,65000010-027,新埔里,0.63,85.7,71.42,14.28,20,111Y12M
65000,新北市,65000010,板橋區,65000010-028,華江里,0.34,36.84,31.58,5.26,16.66,111Y12M
65000,新北市,65000010,板橋區,65000010-029,江翠里,0.75,50,50,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-030,純翠里,0.55,25,20.83,4.17,20,111Y12M
65000,新北市,65000010,板橋區,65000010-031,溪頭里,0.56,31.43,28.57,2.86,10,111Y12M
65000,新北市,65000010,板橋區,65000010-032,聯翠里,0.38,16.67,8.33,8.33,99.9,111Y12M
65000,新北市,65000010,板橋區,65000010-033,宏翠里,0.58,18.52,11.11,7.41,66.64,111Y12M
65000,新北市,65000010,板橋區,65000010-034,仁翠里,1.33,22.58,19.35,3.23,16.66,111Y12M
65000,新北市,65000010,板橋區,65000010-035,新翠里,0.57,42.42,36.36,6.06,16.67,111Y12M
65000,新北市,65000010,板橋區,65000010-036,吉翠里,0.92,29.63,22.22,7.41,33.33,111Y12M
65000,新北市,65000010,板橋區,65000010-037,德翠里,0.87,36.96,28.26,8.7,30.77,111Y12M
65000,新北市,65000010,板橋區,65000010-038,滿翠里,1.17,29.63,22.22,7.41,33.33,111Y12M
65000,新北市,65000010,板橋區,65000010-039,明翠里,0.6,27.27,22.73,4.55,20,111Y12M
65000,新北市,65000010,板橋區,65000010-040,松翠里,0.42,40,20,20,99.95,111Y12M
65000,新北市,65000010,板橋區,65000010-041,柏翠里,0.35,5.88,5.88,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-042,龍翠里,0.67,22.22,14.81,7.41,49.99,111Y12M
65000,新北市,65000010,板橋區,65000010-043,華翠里,0.48,69.99,59.99,10,16.66,111Y12M
65000,新北市,65000010,板橋區,65000010-044,忠翠里,0.46,25,20,5,25,111Y12M
65000,新北市,65000010,板橋區,65000010-045,嵐翠里,0.47,174.96,149.96,24.99,16.66,111Y12M
65000,新北市,65000010,板橋區,65000010-046,文翠里,0.7,28.57,19.05,9.52,49.99,111Y12M
65000,新北市,65000010,板橋區,65000010-047,青翠里,0.59,63.63,45.45,18.18,39.99,111Y12M
65000,新北市,65000010,板橋區,65000010-048,懷翠里,0.59,20,10,10,99.97,111Y12M
65000,新北市,65000010,板橋區,65000010-049,福翠里,0.07,0,0,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-050,港嘴里,0.77,43.75,25,18.75,74.99,111Y12M
65000,新北市,65000010,板橋區,65000010-051,振興里,0.51,57.14,57.14,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-052,振義里,1.07,40.62,37.5,3.12,8.33,111Y12M
65000,新北市,65000010,板橋區,65000010-053,光復里,1.36,43.75,28.12,15.62,55.55,111Y12M
65000,新北市,65000010,板橋區,65000010-054,埔墘里,0.58,44,32,12,37.5,111Y12M
65000,新北市,65000010,板橋區,65000010-055,長壽里,0.72,61.53,38.46,23.08,59.99,111Y12M
65000,新北市,65000010,板橋區,65000010-056,福壽里,0.43,27.27,27.27,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-057,海山里,0.31,31.58,31.58,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-058,九如里,0.83,60,60,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-059,玉光里,0.39,57.14,50,7.14,14.28,111Y12M
65000,新北市,65000010,板橋區,65000010-060,光仁里,0.28,59.99,59.99,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-061,埤墘里,0.34,33.33,33.33,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-062,永安里,1.17,25,19.44,5.56,28.57,111Y12M
65000,新北市,65000010,板橋區,65000010-063,雙玉里,0.44,0,0,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-064,廣新里,0.73,50,38.89,11.11,28.57,111Y12M
65000,新北市,65000010,板橋區,65000010-065,深丘里,0.3,58.82,52.94,5.88,11.11,111Y12M
65000,新北市,65000010,板橋區,65000010-066,香丘里,0.25,66.66,16.66,49.99,299.7,111Y12M
65000,新北市,65000010,板橋區,65000010-067,西安里,0.64,50,50,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-068,東丘里,0.89,147.05,147.05,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-069,長安里,0.9,38.71,29.03,9.68,33.33,111Y12M
65000,新北市,65000010,板橋區,65000010-070,福丘里,0.41,23.53,23.53,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-071,福祿里,0.49,31.25,31.25,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-072,民族里,0.61,52.38,52.38,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-073,國泰里,0.49,20,13.33,6.67,49.98,111Y12M
65000,新北市,65000010,板橋區,65000010-074,福德里,0.42,10.53,10.53,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-075,景星里,0.91,33.33,25,8.33,33.33,111Y12M
65000,新北市,65000010,板橋區,65000010-076,福星里,0.2,74.98,49.99,24.99,49.98,111Y12M
65000,新北市,65000010,板橋區,65000010-077,鄉雲里,0.29,22.22,11.11,11.11,99.9,111Y12M
65000,新北市,65000010,板橋區,65000010-078,廣德里,0.73,34.21,28.95,5.26,18.18,111Y12M
65000,新北市,65000010,板橋區,65000010-079,大豐里,0.92,50,28.57,21.43,74.99,111Y12M
65000,新北市,65000010,板橋區,65000010-080,重慶里,1.1,46.97,31.82,15.15,47.62,111Y12M
65000,新北市,65000010,板橋區,65000010-081,仁愛里,1.09,43.48,30.43,13.04,42.85,111Y12M
65000,新北市,65000010,板橋區,65000010-082,和平里,0.54,76.92,76.92,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-083,廣福里,1.14,31.43,28.57,2.86,10,111Y12M
65000,新北市,65000010,板橋區,65000010-084,華興里,0.91,35.71,32.14,3.57,11.11,111Y12M
65000,新北市,65000010,板橋區,65000010-085,華貴里,0.74,5.56,5.56,0,0,111Y12M
65000,新北市,65000010,板橋區,65000010-086,華德里,0.69,44.12,26.47,17.65,66.66,111Y12M
65000,新北市,65000010,板橋區,65000010-087,華東里,0.38,57.89,36.84,21.05,57.13,111Y12M
65000,新北市,65000010,板橋區,65000010-088,信義里,0.91,42.86,35.71,7.14,20,111Y12M
65000,新北市,65000010,板橋區,65000010-089,浮洲里,1.35,42.86,14.29,28.57,199.96,111Y12M
65000,新北市,65000010,板橋區,65000010-090,華中里,1.27,36.73,20.41,16.33,79.99,111Y12M
