COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A9_M_CNT,A0A9_F_CNT,A10A19_M_CNT,A10A19_F_CNT,A20A29_M_CNT,A20A29_F_CNT,A30A39_M_CNT,A30A39_F_CNT,A40A49_M_CNT,A40A49_F_CNT,A50A59_M_CNT,A50A59_F_CNT,A60A69_M_CNT,A60A69_F_CNT,A70A79_M_CNT,A70A79_F_CNT,A80A89_M_CNT,A80A89_F_CNT,A90A99_M_CNT,A90A99_F_CNT,A100UP_M_CNT,A100UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民0-9歲男性人口數,原住民0-9歲女性人口數,原住民10-19歲男性人口數,原住民10-19歲女性人口數,原住民20-29歲男性人口數,原住民20-29歲女性人口數,原住民30-39歲男性人口數,原住民30-39歲女性人口數,原住民40-49歲男性人口數,原住民40-49歲女性人口數,原住民50-59歲男性人口數,原住民50-59歲女性人口數,原住民60-69歲男性人口數,原住民60-69歲女性人口數,原住民70-79歲男性人口數,原住民70-79歲女性人口數,原住民80-89歲男性人口數,原住民80-89歲女性人口數,原住民90-99歲男性人口數,原住民90-99歲女性人口數,原住民100歲以上男性人口數,原住民100歲以上女性人口數,資料時間
"65000","新北市","65000010","板橋區","65000010-001","留侯里",0,1,0,1,0,2,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-002","流芳里",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-003","赤松里",0,1,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-004","黃石里",0,0,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-005","挹秀里",2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-006","湳興里",3,4,9,3,4,1,3,3,5,3,2,2,0,2,0,2,0,1,0,0,0,0,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-007","新興里",1,1,2,2,4,2,2,2,1,3,0,1,1,2,0,0,0,0,0,0,0,0,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-008","社後里",5,3,5,8,6,8,13,9,15,3,7,10,1,7,1,1,0,0,0,0,0,0,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-009","香社里",1,3,4,1,5,6,5,9,2,5,1,2,3,5,0,0,0,0,0,0,0,0,"113Y12M"
