COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A9_M_CNT,A0A9_F_CNT,A10A19_M_CNT,A10A19_F_CNT,A20A29_M_CNT,A20A29_F_CNT,A30A39_M_CNT,A30A39_F_CNT,A40A49_M_CNT,A40A49_F_CNT,A50A59_M_CNT,A50A59_F_CNT,A60A69_M_CNT,A60A69_F_CNT,A70A79_M_CNT,A70A79_F_CNT,A80A89_M_CNT,A80A89_F_CNT,A90A99_M_CNT,A90A99_F_CNT,A100UP_M_CNT,A100UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民0-9歲男性人口數,原住民0-9歲女性人口數,原住民10-19歲男性人口數,原住民10-19歲女性人口數,原住民20-29歲男性人口數,原住民20-29歲女性人口數,原住民30-39歲男性人口數,原住民30-39歲女性人口數,原住民40-49歲男性人口數,原住民40-49歲女性人口數,原住民50-59歲男性人口數,原住民50-59歲女性人口數,原住民60-69歲男性人口數,原住民60-69歲女性人口數,原住民70-79歲男性人口數,原住民70-79歲女性人口數,原住民80-89歲男性人口數,原住民80-89歲女性人口數,原住民90-99歲男性人口數,原住民90-99歲女性人口數,原住民100歲以上男性人口數,原住民100歲以上女性人口數,資料時間
65000,新北市,65000010,板橋區,65000010-034,仁翠里,0,1,2,1,7,3,1,5,1,6,0,2,0,1,1,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-035,新翠里,5,4,2,2,5,5,5,4,2,5,3,2,3,1,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-036,吉翠里,1,3,3,4,7,3,0,2,2,4,2,3,1,0,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-037,德翠里,3,4,3,3,7,7,4,7,0,1,4,6,1,2,0,1,0,1,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-038,滿翠里,2,1,1,2,4,6,5,4,1,2,2,2,1,3,1,2,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-039,明翠里,3,1,4,2,2,2,2,2,4,0,0,4,0,1,1,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-040,松翠里,1,2,1,0,1,0,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-041,柏翠里,0,0,2,1,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-042,龍翠里,0,1,1,3,2,2,4,2,5,2,3,4,1,3,1,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-043,華翠里,4,0,3,2,1,0,0,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-044,忠翠里,1,1,1,1,4,8,1,5,2,8,1,5,0,1,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-045,嵐翠里,4,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-046,文翠里,1,0,0,1,4,3,2,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-047,青翠里,2,1,1,0,3,2,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-048,懷翠里,3,0,0,2,2,4,1,9,2,6,0,3,2,4,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-049,福翠里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-050,港嘴里,2,4,2,5,1,6,2,3,3,3,2,7,3,3,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-051,振興里,1,3,0,2,1,3,1,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-052,振義里,3,5,3,6,1,2,2,7,4,3,3,2,0,0,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-053,光復里,1,3,1,2,2,6,3,4,3,3,3,4,0,4,1,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-054,埔墘里,2,3,2,2,3,1,1,6,2,2,1,2,1,3,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-055,長壽里,0,1,0,1,1,1,1,4,1,2,0,0,0,2,0,3,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-056,福壽里,1,2,1,1,0,2,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-057,海山里,4,2,1,2,3,2,2,1,2,6,1,0,0,2,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-058,九如里,6,3,1,4,3,1,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-059,玉光里,3,4,1,1,2,2,2,2,4,5,0,2,0,0,0,0,0,1,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-060,光仁里,1,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-061,埤墘里,1,1,2,1,0,2,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-062,永安里,4,3,5,2,5,5,3,7,1,5,4,2,2,1,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-063,雙玉里,0,0,1,2,1,5,2,3,1,1,0,2,1,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-064,廣新里,3,3,3,1,1,4,2,4,1,4,0,1,1,2,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-065,深丘里,1,5,6,2,1,3,3,2,1,4,2,2,1,1,1,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-066,香丘里,1,2,2,1,0,0,3,3,1,1,0,1,0,2,1,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-067,西安里,0,1,0,3,2,2,1,2,0,2,1,3,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-068,東丘里,9,7,6,7,1,1,0,4,3,3,1,1,0,0,0,0,1,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-069,長安里,3,0,8,7,1,3,1,7,1,4,2,0,2,3,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-070,福丘里,3,2,2,2,0,3,2,5,0,2,3,0,1,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-071,福祿里,0,1,3,2,1,1,3,1,2,3,0,1,1,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-072,民族里,4,7,2,5,2,4,2,3,1,2,0,3,0,3,0,0,0,1,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-073,國泰里,2,0,0,0,3,5,0,2,2,3,1,2,0,1,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-074,福德里,0,1,3,0,4,1,3,0,2,3,1,3,0,0,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-075,景星里,1,1,3,1,3,3,1,4,3,3,1,3,0,0,1,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-076,福星里,0,0,1,2,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-077,鄉雲里,0,0,0,1,1,0,1,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-078,廣德里,5,2,4,3,3,4,7,6,3,4,1,1,2,2,0,0,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-079,大豐里,3,2,0,1,2,4,3,6,3,3,1,3,1,3,0,3,0,0,0,0,0,0,110Y12M
65000,新北市,65000010,板橋區,65000010-080,重慶里,9,3,6,11,7,8,7,7,2,15,3,5,2,6,2,0,0,0,0,0,0,0,110Y12M
