sau_id,year,COUNTY,TOWN,VILLAGE,P_CNT,H_CNT,M_CNT,F_CNT,members
SAU_09007020-001,2022,連江縣,北竿鄉,塘岐村,1325,387,746,579,['09007020-001']
SAU_09007020-001,2023,連江縣,北竿鄉,塘岐村,1327,399,744,583,['09007020-001']
SAU_09007020-001,2024,連江縣,北竿鄉,塘岐村,1305,412,735,570,['09007020-001']
SAU_09007020-002,2018,連江縣,北竿鄉,后沃村,205,57,114,91,['09007020-002']
SAU_09007020-002,2019,連江縣,北竿鄉,后沃村,212,69,117,95,['09007020-002']
SAU_09007020-002,2020,連江縣,北竿鄉,后沃村,233,80,134,99,['09007020-002']
SAU_09007020-002,2021,連江縣,北竿鄉,后沃村,243,83,137,106,['09007020-002']
SAU_09007020-002,2022,連江縣,北竿鄉,后沃村,246,90,138,108,['09007020-002']
SAU_09007020-002,2023,連江縣,北竿鄉,后沃村,234,90,129,105,['09007020-002']
SAU_09007020-002,2024,連江縣,北竿鄉,后沃村,226,91,125,101,['09007020-002']
SAU_09007020-003,2018,連江縣,北竿鄉,橋仔村,391,91,228,163,['09007020-003']
SAU_09007020-003,2019,連江縣,北竿鄉,橋仔村,411,99,240,171,['09007020-003']
SAU_09007020-003,2020,連江縣,北竿鄉,橋仔村,409,108,242,167,['09007020-003']
SAU_09007020-003,2021,連江縣,北竿鄉,橋仔村,480,126,278,202,['09007020-003']
SAU_09007020-003,2022,連江縣,北竿鄉,橋仔村,532,134,308,224,['09007020-003']
SAU_09007020-003,2023,連江縣,北竿鄉,橋仔村,513,146,297,216,['09007020-003']
SAU_09007020-003,2024,連江縣,北竿鄉,橋仔村,496,148,290,206,['09007020-003']
SAU_09007020-004,2018,連江縣,北竿鄉,芹壁村,217,74,113,104,['09007020-004']
SAU_09007020-004,2019,連江縣,北竿鄉,芹壁村,221,84,120,101,['09007020-004']
SAU_09007020-004,2020,連江縣,北竿鄉,芹壁村,302,93,182,120,['09007020-004']
SAU_09007020-004,2021,連江縣,北竿鄉,芹壁村,420,102,267,153,['09007020-004']
SAU_09007020-004,2022,連江縣,北竿鄉,芹壁村,426,106,277,149,['09007020-004']
SAU_09007020-004,2023,連江縣,北竿鄉,芹壁村,433,108,276,157,['09007020-004']
SAU_09007020-004,2024,連江縣,北竿鄉,芹壁村,411,113,257,154,['09007020-004']
SAU_09007020-005,2018,連江縣,北竿鄉,�閮膚�,321,86,167,154,['09007020-005']
SAU_09007020-005,2019,連江縣,北竿鄉,�閮膚�,385,92,210,175,['09007020-005']
SAU_09007020-005,2020,連江縣,北竿鄉,�閮膚�,405,107,225,180,['09007020-005']
SAU_09007020-005,2021,連江縣,北竿鄉,■里村,430,108,236,194,['09007020-005']
SAU_09007020-005,2022,連江縣,北竿鄉,■里村,472,111,250,222,['09007020-005']
SAU_09007020-005,2023,連江縣,北竿鄉,?里村,469,116,242,227,['09007020-005']
SAU_09007020-005,2024,連江縣,北竿鄉,?里村,466,119,247,219,['09007020-005']
SAU_09007020-006,2018,連江縣,北竿鄉,白沙村,151,47,99,52,['09007020-006']
SAU_09007020-006,2019,連江縣,北竿鄉,白沙村,146,48,93,53,['09007020-006']
SAU_09007020-006,2020,連江縣,北竿鄉,白沙村,153,53,98,55,['09007020-006']
SAU_09007020-006,2021,連江縣,北竿鄉,白沙村,149,57,97,52,['09007020-006']
SAU_09007020-006,2022,連江縣,北竿鄉,白沙村,180,61,115,65,['09007020-006']
SAU_09007020-006,2023,連江縣,北竿鄉,白沙村,160,61,101,59,['09007020-006']
SAU_09007020-006,2024,連江縣,北竿鄉,白沙村,158,65,102,56,['09007020-006']
SAU_09007030-001,2018,連江縣,莒光鄉,青帆村,479,82,301,178,['09007030-001']
SAU_09007030-001,2019,連江縣,莒光鄉,青帆村,449,82,280,169,['09007030-001']
SAU_09007030-001,2020,連江縣,莒光鄉,青帆村,442,85,280,162,['09007030-001']
SAU_09007030-001,2021,連江縣,莒光鄉,青帆村,408,87,259,149,['09007030-001']
SAU_09007030-001,2022,連江縣,莒光鄉,青帆村,394,89,244,150,['09007030-001']
SAU_09007030-001,2023,連江縣,莒光鄉,青帆村,389,90,244,145,['09007030-001']
SAU_09007030-001,2024,連江縣,莒光鄉,青帆村,395,91,250,145,['09007030-001']
SAU_09007030-002,2018,連江縣,莒光鄉,田沃村,214,41,137,77,['09007030-002']
SAU_09007030-002,2019,連江縣,莒光鄉,田沃村,214,41,136,78,['09007030-002']
SAU_09007030-002,2020,連江縣,莒光鄉,田沃村,212,42,138,74,['09007030-002']
SAU_09007030-002,2021,連江縣,莒光鄉,田沃村,229,42,153,76,['09007030-002']
SAU_09007030-002,2022,連江縣,莒光鄉,田沃村,226,44,148,78,['09007030-002']
SAU_09007030-002,2023,連江縣,莒光鄉,田沃村,248,47,158,90,['09007030-002']
SAU_09007030-002,2024,連江縣,莒光鄉,田沃村,247,49,159,88,['09007030-002']
SAU_09007030-003,2018,連江縣,莒光鄉,西坵村,72,23,45,27,['09007030-003']
SAU_09007030-003,2019,連江縣,莒光鄉,西坵村,67,23,39,28,['09007030-003']
