sau_id,year,COUNTY,TOWN,VILLAGE,H_CNT,P_CNT,M_CNT,F_CNT,members
SAU_09007020-005,2022,連江縣,北竿鄉,■里村,111,472,250,222,['09007020-005']
SAU_09007020-005,2023,連江縣,北竿鄉,?里村,116,469,242,227,['09007020-005']
SAU_09007020-005,2024,連江縣,北竿鄉,?里村,119,466,247,219,['09007020-005']
SAU_09007020-006,2020,連江縣,北竿鄉,白沙村,53,153,98,55,['09007020-006']
SAU_09007020-006,2021,連江縣,北竿鄉,白沙村,57,149,97,52,['09007020-006']
SAU_09007020-006,2022,連江縣,北竿鄉,白沙村,61,180,115,65,['09007020-006']
SAU_09007020-006,2023,連江縣,北竿鄉,白沙村,61,160,101,59,['09007020-006']
SAU_09007020-006,2024,連江縣,北竿鄉,白沙村,65,158,102,56,['09007020-006']
SAU_09007030-001,2020,連江縣,莒光鄉,青帆村,85,442,280,162,['09007030-001']
SAU_09007030-001,2021,連江縣,莒光鄉,青帆村,87,408,259,149,['09007030-001']
SAU_09007030-001,2022,連江縣,莒光鄉,青帆村,89,394,244,150,['09007030-001']
SAU_09007030-001,2023,連江縣,莒光鄉,青帆村,90,389,244,145,['09007030-001']
SAU_09007030-001,2024,連江縣,莒光鄉,青帆村,91,395,250,145,['09007030-001']
SAU_09007030-002,2020,連江縣,莒光鄉,田沃村,42,212,138,74,['09007030-002']
SAU_09007030-002,2021,連江縣,莒光鄉,田沃村,42,229,153,76,['09007030-002']
SAU_09007030-002,2022,連江縣,莒光鄉,田沃村,44,226,148,78,['09007030-002']
SAU_09007030-002,2023,連江縣,莒光鄉,田沃村,47,248,158,90,['09007030-002']
SAU_09007030-002,2024,連江縣,莒光鄉,田沃村,49,247,159,88,['09007030-002']
SAU_09007030-003,2020,連江縣,莒光鄉,西坵村,22,67,39,28,['09007030-003']
SAU_09007030-003,2021,連江縣,莒光鄉,西坵村,24,105,73,32,['09007030-003']
SAU_09007030-003,2022,連江縣,莒光鄉,西坵村,23,101,69,32,['09007030-003']
SAU_09007030-003,2023,連江縣,莒光鄉,西坵村,24,112,81,31,['09007030-003']
SAU_09007030-003,2024,連江縣,莒光鄉,西坵村,24,122,90,32,['09007030-003']
SAU_09007030-004,2020,連江縣,莒光鄉,福正村,50,248,147,101,['09007030-004']
SAU_09007030-004,2021,連江縣,莒光鄉,福正村,51,237,144,93,['09007030-004']
SAU_09007030-004,2022,連江縣,莒光鄉,福正村,52,215,131,84,['09007030-004']
SAU_09007030-004,2023,連江縣,莒光鄉,福正村,52,214,128,86,['09007030-004']
SAU_09007030-004,2024,連江縣,莒光鄉,福正村,55,218,126,92,['09007030-004']
SAU_09007030-005,2020,連江縣,莒光鄉,大坪村,116,520,318,202,['09007030-005']
SAU_09007030-005,2021,連江縣,莒光鄉,大坪村,125,517,315,202,['09007030-005']
SAU_09007030-005,2022,連江縣,莒光鄉,大坪村,129,535,325,210,['09007030-005']
SAU_09007030-005,2023,連江縣,莒光鄉,大坪村,130,541,327,214,['09007030-005']
SAU_09007030-005,2024,連江縣,莒光鄉,大坪村,135,536,326,210,['09007030-005']
SAU_09007040-001,2020,連江縣,東引鄉,中柳村,167,642,358,284,['09007040-001']
SAU_09007040-001,2021,連江縣,東引鄉,中柳村,168,665,374,291,['09007040-001']
SAU_09007040-001,2022,連江縣,東引鄉,中柳村,170,704,396,308,['09007040-001']
SAU_09007040-001,2023,連江縣,東引鄉,中柳村,173,758,425,333,['09007040-001']
SAU_09007040-001,2024,連江縣,東引鄉,中柳村,179,730,418,312,['09007040-001']
SAU_09007040-002,2020,連江縣,東引鄉,樂華村,187,793,516,277,['09007040-002']
SAU_09007040-002,2021,連江縣,東引鄉,樂華村,189,829,544,285,['09007040-002']
SAU_09007040-002,2022,連江縣,東引鄉,樂華村,189,830,551,279,['09007040-002']
SAU_09007040-002,2023,連江縣,東引鄉,樂華村,188,814,551,263,['09007040-002']
SAU_09007040-002,2024,連江縣,東引鄉,樂華村,191,825,550,275,['09007040-002']
SAU_09020010-001,2020,金門縣,金城鎮,東門里,1714,5624,2789,2835,['09020010-001']
SAU_09020010-001,2021,金門縣,金城鎮,東門里,1716,5565,2755,2810,['09020010-001']
SAU_09020010-001,2022,金門縣,金城鎮,東門里,1718,5495,2706,2789,['09020010-001']
SAU_09020010-001,2023,金門縣,金城鎮,東門里,1711,5541,2730,2811,['09020010-001']
SAU_09020010-001,2024,金門縣,金城鎮,東門里,1707,5477,2711,2766,['09020010-001']
SAU_09020010-002,2020,金門縣,金城鎮,西門里,3490,11257,5504,5753,['09020010-002']
SAU_09020010-002,2021,金門縣,金城鎮,西門里,3494,11156,5458,5698,['09020010-002']
SAU_09020010-002,2022,金門縣,金城鎮,西門里,3488,10927,5319,5608,['09020010-002']
SAU_09020010-002,2023,金門縣,金城鎮,西門里,3496,11056,5372,5684,['09020010-002']
SAU_09020010-002,2024,金門縣,金城鎮,西門里,3493,10821,5241,5580,['09020010-002']
SAU_09020010-003,2020,金門縣,金城鎮,南門里,1929,6144,3013,3131,['09020010-003']
SAU_09020010-003,2021,金門縣,金城鎮,南門里,1919,6071,2979,3092,['09020010-003']
SAU_09020010-003,2022,金門縣,金城鎮,南門里,1880,5976,2933,3043,['09020010-003']
SAU_09020010-003,2023,金門縣,金城鎮,南門里,1893,6084,3000,3084,['09020010-003']
SAU_09020010-003,2024,金門縣,金城鎮,南門里,1924,5991,2958,3033,['09020010-003']
SAU_09020010-004,2020,金門縣,金城鎮,北門里,1382,4554,2336,2218,['09020010-004']
SAU_09020010-004,2021,金門縣,金城鎮,北門里,1391,4480,2287,2193,['09020010-004']
SAU_09020010-004,2022,金門縣,金城鎮,北門里,1373,4304,2190,2114,['09020010-004']
SAU_09020010-004,2023,金門縣,金城鎮,北門里,1390,4431,2269,2162,['09020010-004']
SAU_09020010-004,2024,金門縣,金城鎮,北門里,1412,4388,2241,2147,['09020010-004']
SAU_09020010-005,2020,金門縣,金城鎮,古城里,1383,4513,2269,2244,['09020010-005']
SAU_09020010-005,2021,金門縣,金城鎮,古城里,1419,4535,2269,2266,['09020010-005']
SAU_09020010-005,2022,金門縣,金城鎮,古城里,1426,4541,2263,2278,['09020010-005']
SAU_09020010-005,2023,金門縣,金城鎮,古城里,1454,4632,2307,2325,['09020010-005']
SAU_09020010-005,2024,金門縣,金城鎮,古城里,1487,4669,2326,2343,['09020010-005']
SAU_09020010-006,2020,金門縣,金城鎮,金水里,726,2408,1260,1148,['09020010-006']
SAU_09020010-006,2021,金門縣,金城鎮,金水里,735,2432,1253,1179,['09020010-006']
SAU_09020010-006,2022,金門縣,金城鎮,金水里,739,2452,1263,1189,['09020010-006']
SAU_09020010-006,2023,金門縣,金城鎮,金水里,759,2476,1273,1203,['09020010-006']
SAU_09020010-006,2024,金門縣,金城鎮,金水里,782,2499,1283,1216,['09020010-006']
SAU_09020010-007,2020,金門縣,金城鎮,珠沙里,994,3184,1599,1585,['09020010-007']
SAU_09020010-007,2021,金門縣,金城鎮,珠沙里,1029,3215,1607,1608,['09020010-007']
SAU_09020010-007,2022,金門縣,金城鎮,珠沙里,1018,3208,1586,1622,['09020010-007']
SAU_09020010-007,2023,金門縣,金城鎮,珠沙里,1051,3342,1654,1688,['09020010-007']
SAU_09020010-007,2024,金門縣,金城鎮,珠沙里,1077,3340,1656,1684,['09020010-007']
SAU_09020010-008,2020,金門縣,金城鎮,賢庵里,1554,5316,2706,2610,['09020010-008']
SAU_09020010-008,2021,金門縣,金城鎮,賢庵里,1594,5391,2719,2672,['09020010-008']
SAU_09020010-008,2022,金門縣,金城鎮,賢庵里,1619,5439,2710,2729,['09020010-008']
SAU_09020010-008,2023,金門縣,金城鎮,賢庵里,1657,5630,2830,2800,['09020010-008']
SAU_09020010-008,2024,金門縣,金城鎮,賢庵里,1704,5534,2772,2762,['09020010-008']
SAU_09020020-001,2020,金門縣,金沙鎮,汶沙里,1827,5751,2828,2923,['09020020-001']
SAU_09020020-001,2021,金門縣,金沙鎮,汶沙里,1841,5718,2808,2910,['09020020-001']
SAU_09020020-001,2022,金門縣,金沙鎮,汶沙里,1836,5637,2758,2879,['09020020-001']
SAU_09020020-001,2023,金門縣,金沙鎮,汶沙里,1841,5650,2769,2881,['09020020-001']
SAU_09020020-001,2024,金門縣,金沙鎮,汶沙里,1884,5551,2706,2845,['09020020-001']
SAU_09020020-002,2020,金門縣,金沙鎮,三山里,641,2084,1033,1051,['09020020-002']
SAU_09020020-002,2021,金門縣,金沙鎮,三山里,646,2110,1055,1055,['09020020-002']
SAU_09020020-002,2022,金門縣,金沙鎮,三山里,643,2079,1020,1059,['09020020-002']
SAU_09020020-002,2023,金門縣,金沙鎮,三山里,654,2103,1032,1071,['09020020-002']
SAU_09020020-002,2024,金門縣,金沙鎮,三山里,665,2086,1025,1061,['09020020-002']
SAU_09020020-003,2020,金門縣,金沙鎮,大洋里,410,1266,630,636,['09020020-003']
SAU_09020020-003,2021,金門縣,金沙鎮,大洋里,421,1279,645,634,['09020020-003']
SAU_09020020-003,2022,金門縣,金沙鎮,大洋里,441,1309,666,643,['09020020-003']
SAU_09020020-003,2023,金門縣,金沙鎮,大洋里,446,1321,667,654,['09020020-003']
SAU_09020020-003,2024,金門縣,金沙鎮,大洋里,460,1418,745,673,['09020020-003']
SAU_09020020-004,2020,金門縣,金沙鎮,光前里,887,2607,1303,1304,['09020020-004']
SAU_09020020-004,2021,金門縣,金沙鎮,光前里,896,2609,1280,1329,['09020020-004']
SAU_09020020-004,2022,金門縣,金沙鎮,光前里,908,2613,1274,1339,['09020020-004']
SAU_09020020-004,2023,金門縣,金沙鎮,光前里,931,2695,1319,1376,['09020020-004']
SAU_09020020-004,2024,金門縣,金沙鎮,光前里,934,2662,1314,1348,['09020020-004']
