COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,88.68,2.4,25683.28,51.71773439951928096600,21.91272049961678690800,29.80501389990249405800,136.0169485761993700,111Y12M
65000,新北市,65000010,板橋區,65000010-002,流芳里,82.91,2.33,32679.58,55.88865090375947440700,24.30406849646245343000,31.58458240729702097700,129.9559465640707200,111Y12M
65000,新北市,65000010,板橋區,65000010-003,赤松里,86.56,2.13,65909.94,49.09344484087385656800,23.43096231041706790700,25.66248253045678866000,109.5238088718820900,111Y12M
65000,新北市,65000010,板橋區,65000010-004,黃石里,91.35,2.44,13070.84,61.11111103566529501800,32.34567897241274200900,28.76543206325255300800,88.93129737049123141000,111Y12M
65000,新北市,65000010,板橋區,65000010-005,挹秀里,94.65,2.29,15919.68,60.48252906781819545100,25.79034939618107371400,34.69217967163712173700,134.5161285983350700,111Y12M
65000,新北市,65000010,板橋區,65000010-006,湳興里,91.78,2.29,27486.46,42.67921393781366899000,16.10849708936936144800,26.57071684844430754300,164.9484533248308400,111Y12M
65000,新北市,65000010,板橋區,65000010-007,新興里,88.95,2.04,34942.23,40.00870699172455072200,12.23334783968944369200,27.77535915203510703000,227.0462625372019100,111Y12M
65000,新北市,65000010,板橋區,65000010-008,社後里,131,1.72,56500.06,40.16203703122655714200,9.24479166532916787200,30.91724536589738927000,334.4287944688125300,111Y12M
65000,新北市,65000010,板橋區,65000010-009,香社里,96.9,2.49,16717.15,37.94683775192580575900,13.65719522955783830400,24.28964252236796745400,177.8523485954086200,111Y12M
65000,新北市,65000010,板橋區,65000010-010,中正里,95.66,2.2,8283.53,37.26562499272155761900,19.66796874615859985400,17.59765624656295776400,89.47368412167459372200,111Y12M
65000,新北市,65000010,板橋區,65000010-011,自強里,94.86,2.44,60499.76,62.47987115540100767900,19.99999999355877617000,42.47987116184223151000,212.3993555355888000,111Y12M
65000,新北市,65000010,板橋區,65000010-012,自立里,90.29,2.48,55303.3,46.26865669175444739200,14.12579956603102368500,32.14285712572342370700,227.5471689526521900,111Y12M
65000,新北市,65000010,板橋區,65000010-013,光華里,95.01,2.33,45461.64,45.25790346907492874700,14.75318912104648412600,30.50471434802844462100,206.7669165159138500,111Y12M
65000,新北市,65000010,板橋區,65000010-014,國光里,91.16,2.37,80391.68,44.61599364821219570500,10.84718922769311590400,33.76880442051907980200,311.3138674769566900,111Y12M
65000,新北市,65000010,板橋區,65000010-015,港尾里,91.92,2.63,71354.13,43.18627448863417917200,19.11764704945213379900,24.06862743918204537300,125.8974355746219600,111Y12M
65000,新北市,65000010,板橋區,65000010-016,金華里,93.77,2.64,58538.71,48.32769633659237266600,17.77527244728475293200,30.55242388930761973300,171.8816064019416400,111Y12M
65000,新北市,65000010,板橋區,65000010-017,港德里,95.43,2.46,70243.44,48.82985450701143121200,16.00253003921488613600,32.82732446779654507700,205.1383395155368800,111Y12M
65000,新北市,65000010,板橋區,65000010-018,民權里,93.54,2.4,59442.32,55.32906228577224095200,17.93826440422931601400,37.39079788154292493800,208.4415577648001400,111Y12M
65000,新北市,65000010,板橋區,65000010-019,建國里,90.3,2.45,52685.2,46.14736840162216067300,15.95789473012299169300,30.18947367149916898000,189.1820575483323000,111Y12M
65000,新北市,65000010,板橋區,65000010-020,漢生里,92.21,2.52,38401.02,64.97695850039287308000,27.41935482817997126400,37.55760367221290181600,136.9747897241249400,111Y12M
65000,新北市,65000010,板橋區,65000010-021,公■里,97.5,2.59,51237.64,49.56455886044507426700,21.05263157097590625900,28.51192728946916800900,135.4316544326768800,111Y12M
65000,新北市,65000010,板橋區,65000010-022,新民里,95.32,2.58,14753.75,58.43881854485273609500,27.35583683988894625900,31.08298170496378983700,113.6246785171919300,111Y12M
65000,新北市,65000010,板橋區,65000010-023,幸福里,93.05,2.53,37062.01,43.18747775055585992500,15.54606900905511597000,27.64140874150074395500,177.8032032544549100,111Y12M
65000,新北市,65000010,板橋區,65000010-024,忠誠里,89.79,2.46,33897.24,55.40007174187295595900,24.14782919836819906800,31.25224254350475689100,129.4205050082904800,111Y12M
65000,新北市,65000010,板橋區,65000010-025,百壽里,85.81,2.4,54933.88,57.78251596067030066100,29.74413644469928760900,28.03837951597101305100,94.26523280597628529400,111Y12M
65000,新北市,65000010,板橋區,65000010-026,介壽里,91.23,2.48,39634.45,58.68381986210597730700,26.91736762646344996200,31.76645223564252734500,118.0147056654141400,111Y12M
65000,新北市,65000010,板橋區,65000010-027,新埔里,93.32,2.31,33762.53,45.74468081862079374600,12.97872339505055078400,32.76595742357024296200,252.4590150138851600,111Y12M
65000,新北市,65000010,板橋區,65000010-028,華江里,86.25,2.38,64576.97,50.20321268623897567500,28.41107024803346811500,21.79214243820550756000,76.70299722295436156500,111Y12M
65000,新北市,65000010,板橋區,65000010-029,江翠里,95.72,2.39,37933.7,40.18842529200849924800,14.37415881174316048100,25.81426648026533876700,179.5880146449662600,111Y12M
