COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,й╩дёи╥,дс╢q,дHдf▒Kл╫,з▀╛iдё,з▀еодё,з▀ж╤дё,ж╤д╞л№╝╞,╕ъо╞о╔╢б
65000,╖sе_ел,65000020,дTнл░╧,65000020-036,е·╜ўи╜,101.48,2.55,19241.85,29.23,12.64,16.59,131.25,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-037,║╓мPи╜,93.15,2.22,47069.23,27.9,10.01,17.89,178.67,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-038,║╓зQи╜,87.14,2.3,11927.72,23.46,12.39,11.07,89.34,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-039,▓MйMи╜,90.59,2.17,9408.43,24.28,12.74,11.53,90.52,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-040,е├┐│и╜,93.15,2.24,5852.07,28.83,13.32,15.51,116.43,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-041,дддsи╜,94.94,2.47,19004.86,30.26,14.25,16.01,112.34,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-042,дj╢щи╜,100.07,2.68,66380.7,32.94,16.66,16.28,97.72,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-043,░ъ╢йи╜,93.24,2.63,49616.33,27.76,14.44,13.32,92.26,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-044,нл╢зи╜,96.68,2.76,33480.27,31.94,16.42,15.51,94.44,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-045,е┴е═и╜,98.04,2.65,58217.3,32.39,17.48,14.92,85.36,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-046,нл╖sи╜,104.84,2.48,42374.53,34.63,14.22,20.41,143.48,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-047,е┐╝wи╜,91.07,2.47,50593.51,34.99,16.61,18.38,110.67,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-048,е┐╕qи╜,102.9,2.6,29955.68,31.99,15.56,16.43,105.63,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-049,е┐жwи╜,95.5,2.47,55632.6,32.03,15.06,16.96,112.61,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-050,ж█▒jи╜,97.99,2.69,66433.1,32.35,14.56,17.79,122.12,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-051,дхд╞и╜,103.24,2.64,36259.46,38.84,16.62,22.22,133.67,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-052,ддеби╜,101.31,2.33,46543.33,33.53,15.5,18.03,116.36,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-053,┬∙╢щи╜,98.89,2.63,39708.66,34.76,15.68,19.07,121.6,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-054,└A│qи╜,93.58,2.51,53431.36,34.32,11.8,22.52,190.91,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-055,└Aжwи╜,91.15,2.53,60176.78,34.96,11.95,23.01,192.61,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-056,к°жwи╜,98.04,2.63,53380.86,30.61,12.83,17.78,138.6,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-057,е·╡╪и╜,98.72,2.33,47183.67,32.14,13.52,18.62,137.68,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-058,к°е═и╜,97.84,2.46,54709.43,32.37,12.72,19.65,154.55,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-059,╢}д╕и╜,105.33,2.52,9584.53,29.05,10.43,18.62,178.57,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-060,дj╝wи╜,89.72,2.42,39151.05,34.63,13.98,20.65,147.78,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-061,к°д╕и╜,103.57,2.56,64390.96,28.28,13.5,14.77,109.42,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-062,к°ж┐и╜,98.7,2.44,21157.66,29.51,13.58,15.93,117.33,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-063,к°оїи╜,100.67,2.6,61305.45,30.77,14.01,16.76,119.61,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-064,к°║╓и╜,95.57,2.6,24931.94,30.84,14.36,16.47,114.67,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-065,д╢╣╪и╜,96.09,2.52,55362.15,35.83,17.4,18.44,105.99,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-066,╕U╣╪и╜,91.95,2.68,69877.58,28.5,13.57,14.93,110.04,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-067,└Aж┐и╜,101.26,2.73,25540.87,27.5,13.1,14.4,109.92,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-068,└s└╪и╜,98.3,2.83,20702.29,30.23,16.1,14.13,87.76,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-069,└sк∙и╜,98.51,2.63,51121.88,34.11,16.79,17.32,103.19,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-070,иqж┐и╜,103.43,2.73,60451.65,36.81,18.27,18.54,101.52,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-071,л│╣╪и╜,98.73,2.46,15548.59,30.82,13.95,16.88,121.,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-072,дTжwи╜,92.6,2.32,42889.97,32.88,13.63,19.25,141.24,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-073,║╓жwи╜,98.16,2.61,48278.96,29.2,14.42,14.78,102.5,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-074,лHжwи╜,97.52,2.52,57142.1,31.88,16.8,15.08,89.78,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-075,жw╝yи╜,97.01,2.48,66474.96,28.5,12.24,16.26,132.85,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-076,йп║╓и╜,97.03,2.66,23832.06,30.82,15.72,15.1,96.04,"103Y12M"
65000,╖sе_ел,65000020,дTнл░╧,65000020-077,д╗жXи╜,99.36,2.68,41074.2,31.36,16.53,14.83,89.72,"103Y12M"
