COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,性比例,戶量,人口密度,扶養比,扶幼比,扶老比,老化指數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,91.42,2.44,40947.39,46.71,20.85,25.87,124.07,"109Y12M"
65000,新北市,65000010,板橋區,65000010-002,流芳里,87.18,2.39,33056.77,52.41,22.89,29.52,128.95,"109Y12M"
65000,新北市,65000010,板橋區,65000010-003,赤松里,85.47,2.18,29317.4,49.77,23.31,26.47,113.55,"109Y12M"
65000,新北市,65000010,板橋區,65000010-004,黃石里,92.34,2.45,12695.74,56.03,28.26,27.77,98.28,"109Y12M"
65000,新北市,65000010,板橋區,65000010-005,挹秀里,95.05,2.31,17282.61,54.3,23.89,30.41,127.33,"109Y12M"
65000,新北市,65000010,板橋區,65000010-006,湳興里,90.77,2.33,32581.02,39.43,15.8,23.63,149.5,"109Y12M"
65000,新北市,65000010,板橋區,65000010-007,新興里,92.27,2.11,37081.66,38.71,13.09,25.62,195.74,"109Y12M"
65000,新北市,65000010,板橋區,65000010-008,社後里,129.97,1.78,59244.64,35.4,9.23,26.17,283.56,"109Y12M"
65000,新北市,65000010,板橋區,65000010-009,香社里,98.3,2.7,18885.1,37.64,14.77,22.87,154.86,"109Y12M"
65000,新北市,65000010,板橋區,65000010-010,中正里,94.49,2.48,6843.12,38.14,18.9,19.24,101.81,"109Y12M"
65000,新北市,65000010,板橋區,65000010-011,自強里,95.58,2.56,62187.57,57.07,20.34,36.72,180.52,"109Y12M"
65000,新北市,65000010,板橋區,65000010-012,自立里,92.95,2.6,64739.13,43.18,15.64,27.54,176.11,"109Y12M"
65000,新北市,65000010,板橋區,65000010-013,光華里,95.15,2.44,49688.66,43.07,15.87,27.2,171.43,"109Y12M"
