COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_CNT,O_M_CNT,O_F_CNT,O1_CNT,O1_M_CNT,O1_F_CNT,O2_CNT,O2_M_CNT,O2_F_CNT,NON_O_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口數,原住民男性人口數,原住民女性人口數,平地原住民人口數,平地原住民男性人口數,平地原住民女性人口數,山地原住民人口數,山地原住民男性人口數,山地原住民女性人口數,非原住民人口數,資料時間
"65000","新北市","65000010","板橋區","65000010-001","留侯里",10,2,8,10,2,8,0,0,0,1653,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-002","流芳里",1,0,1,0,0,0,1,0,1,1461,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-003","赤松里",8,3,5,4,3,1,4,0,4,1086,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-004","黃石里",6,3,3,6,3,3,0,0,0,1319,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-005","挹秀里",6,5,1,5,5,0,1,0,1,1921,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-006","湳興里",47,26,21,25,15,10,22,11,11,5332,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-007","新興里",24,11,13,17,10,7,7,1,6,3338,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-008","社後里",102,53,49,72,39,33,30,14,16,9833,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-009","香社里",52,21,31,30,11,19,22,10,12,4400,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-010","中正里",89,35,54,59,25,34,30,10,20,8076,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-011","自強里",46,17,29,25,10,15,21,7,14,4975,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-012","自立里",14,5,9,7,3,4,7,2,5,2699,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-013","光華里",21,7,14,10,2,8,11,5,6,2545,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-014","國光里",15,6,9,7,2,5,8,4,4,3614,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-015","港尾里",27,18,9,21,13,8,6,5,1,2876,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-016","金華里",23,10,13,17,7,10,6,3,3,3728,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-017","港德里",39,13,26,17,4,13,22,9,13,4559,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-018","民權里",15,5,10,6,2,4,9,3,6,2707,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-019","建國里",18,7,11,15,6,9,3,1,2,3283,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-020","漢生里",39,15,24,21,8,13,18,7,11,4621,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-021","公?里",26,12,14,17,8,9,9,4,5,3895,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-022","新民里",23,10,13,9,5,4,14,5,9,4473,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-023","幸福里",37,14,23,22,7,15,15,7,8,3908,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-024","忠誠里",37,16,21,13,5,8,24,11,13,4392,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-025","百壽里",20,7,13,17,7,10,3,0,3,3015,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-026","介壽里",21,8,13,16,8,8,5,0,5,3328,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-027","新埔里",11,4,7,6,2,4,5,2,3,1992,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-028","華江里",33,13,20,19,7,12,14,6,8,8025,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-029","江翠里",33,14,19,27,12,15,6,2,4,5248,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-030","純翠里",33,15,18,20,10,10,13,5,8,5684,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-031","溪頭里",65,30,35,39,19,20,26,11,15,10461,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-032","聯翠里",17,8,9,12,6,6,5,2,3,3683,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-033","宏翠里",48,16,32,25,9,16,23,7,16,6000,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-034","仁翠里",48,21,27,33,13,20,15,8,7,2729,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-035","新翠里",57,32,25,34,17,17,23,15,8,8126,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-036","吉翠里",40,16,24,23,10,13,17,6,11,3626,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-037","德翠里",54,26,28,30,17,13,24,9,15,7042,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-038","滿翠里",35,16,19,19,8,11,16,8,8,2884,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-039","明翠里",22,9,13,18,7,11,4,2,2,4561,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-040","松翠里",15,7,8,11,6,5,4,1,3,3291,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-041","柏翠里",37,15,22,20,10,10,17,5,12,6523,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-042","龍翠里",33,15,18,29,14,15,4,1,3,4931,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-043","華翠里",19,11,8,9,6,3,10,5,5,3387,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-044","忠翠里",49,12,37,20,7,13,29,5,24,10746,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-045","嵐翠里",21,9,12,16,5,11,5,4,1,2337,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-046","文翠里",26,10,16,24,9,15,2,1,1,3782,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-047","青翠里",26,15,11,19,10,9,7,5,2,2954,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-048","懷翠里",48,15,33,35,12,23,13,3,10,6000,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-049","福翠里",4,1,3,1,0,1,3,1,2,1314,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-050","港嘴里",46,15,31,34,10,24,12,5,7,5853,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-051","振興里",28,8,20,14,6,8,14,2,12,4200,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-052","振義里",45,14,31,22,6,16,23,8,15,4066,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-053","光復里",45,16,29,38,14,24,7,2,5,3271,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-054","埔墘里",47,22,25,27,15,12,20,7,13,6159,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-055","長壽里",29,10,19,9,4,5,20,6,14,2804,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-056","福壽里",21,8,13,10,3,7,11,5,6,3219,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-057","海山里",31,13,18,20,7,13,11,6,5,8050,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-058","九如里",28,11,17,16,8,8,12,3,9,2842,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-059","玉光里",22,9,13,9,4,5,13,5,8,5833,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-060","光仁里",8,3,5,8,3,5,0,0,0,2880,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-061","埤墘里",23,12,11,16,8,8,7,4,3,4701,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-062","永安里",47,22,25,34,17,17,13,5,8,3893,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-063","雙玉里",26,11,15,12,6,6,14,5,9,4262,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-064","廣新里",29,13,16,17,6,11,12,7,5,3646,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-065","深丘里",35,16,19,23,14,9,12,2,10,9220,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-066","香丘里",11,5,6,5,4,1,6,1,5,3827,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-067","西安里",22,9,13,6,1,5,16,8,8,2776,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-068","東丘里",40,19,21,25,11,14,15,8,7,4595,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-069","長安里",37,14,23,20,6,14,17,8,9,4622,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-070","福丘里",28,13,15,23,11,12,5,2,3,5256,"113Y12M"
"65000","新北市","65000010","板橋區","65000010-071","福祿里",25,9,16,20,7,13,5,2,3,4276,"113Y12M"
