COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_CNT,O_M_CNT,O_F_CNT,O1_CNT,O1_M_CNT,O1_F_CNT,O2_CNT,O2_M_CNT,O2_F_CNT,NON_O_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口數,原住民男性人口數,原住民女性人口數,平地原住民人口數,平地原住民男性人口數,平地原住民女性人口數,山地原住民人口數,山地原住民男性人口數,山地原住民女性人口數,非原住民人口數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,11,3,8,8,3,5,3,0,3,1685,"109Y12M"
65000,新北市,65000010,板橋區,65000010-002,流芳里,0,0,0,0,0,0,0,0,0,1518,"109Y12M"
65000,新北市,65000010,板橋區,65000010-003,赤松里,6,4,2,5,4,1,1,0,1,990,"109Y12M"
65000,新北市,65000010,板橋區,65000010-004,黃石里,4,1,3,4,1,3,0,0,0,1277,"109Y12M"
65000,新北市,65000010,板橋區,65000010-005,挹秀里,11,6,5,8,6,2,3,0,3,1998,"109Y12M"
65000,新北市,65000010,板橋區,65000010-006,湳興里,50,23,27,31,16,15,19,7,12,5261,"109Y12M"
65000,新北市,65000010,板橋區,65000010-007,新興里,19,9,10,12,8,4,7,1,6,3213,"109Y12M"
65000,新北市,65000010,板橋區,65000010-008,社後里,112,57,55,85,46,39,27,11,16,9703,"109Y12M"
65000,新北市,65000010,板橋區,65000010-009,香社里,45,23,22,23,11,12,22,12,10,4270,"109Y12M"
65000,新北市,65000010,板橋區,65000010-010,中正里,35,14,21,28,12,16,7,2,5,5220,"109Y12M"
65000,新北市,65000010,板橋區,65000010-011,自強里,29,11,18,18,8,10,11,3,8,5283,"109Y12M"
65000,新北市,65000010,板橋區,65000010-012,自立里,18,9,9,12,6,6,6,3,3,2857,"109Y12M"
65000,新北市,65000010,板橋區,65000010-013,光華里,16,4,12,9,2,7,7,2,5,2761,"109Y12M"
65000,新北市,65000010,板橋區,65000010-014,國光里,23,7,16,11,3,8,12,4,8,3751,"109Y12M"
65000,新北市,65000010,板橋區,65000010-015,港尾里,21,12,9,15,7,8,6,5,1,3020,"109Y12M"
65000,新北市,65000010,板橋區,65000010-016,金華里,17,4,13,14,3,11,3,1,2,4067,"109Y12M"
65000,新北市,65000010,板橋區,65000010-017,港德里,36,16,20,15,9,6,21,7,14,4808,"109Y12M"
65000,新北市,65000010,板橋區,65000010-018,民權里,12,6,6,5,4,1,7,2,5,2661,"109Y12M"
65000,新北市,65000010,板橋區,65000010-019,建國里,16,6,10,12,4,8,4,2,2,3581,"109Y12M"
65000,新北市,65000010,板橋區,65000010-020,漢生里,20,6,14,13,5,8,7,1,6,4377,"109Y12M"
65000,新北市,65000010,板橋區,65000010-021,公F里,27,14,13,20,9,11,7,5,2,4002,"109Y12M"
65000,新北市,65000010,板橋區,65000010-022,新民里,19,5,14,12,3,9,7,2,5,4603,"109Y12M"
65000,新北市,65000010,板橋區,65000010-023,幸福里,23,8,15,15,7,8,8,1,7,4032,"109Y12M"
65000,新北市,65000010,板橋區,65000010-024,忠誠里,29,11,18,15,6,9,14,5,9,4413,"109Y12M"
