COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_CNT,O_M_CNT,O_F_CNT,O1_CNT,O1_M_CNT,O1_F_CNT,O2_CNT,O2_M_CNT,O2_F_CNT,NON_O_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口數,原住民男性人口數,原住民女性人口數,平地原住民人口數,平地原住民男性人口數,平地原住民女性人口數,山地原住民人口數,山地原住民男性人口數,山地原住民女性人口數,非原住民人口數,資料時間
65000,新北市,65000010,板橋區,65000010-055,長壽里,21,5,16,5,1,4,16,4,12,2898,111Y12M
65000,新北市,65000010,板橋區,65000010-056,福壽里,14,5,9,9,3,6,5,2,3,3246,111Y12M
65000,新北市,65000010,板橋區,65000010-057,海山里,25,9,16,19,5,14,6,4,2,8068,111Y12M
65000,新北市,65000010,板橋區,65000010-058,九如里,24,9,15,14,7,7,10,2,8,2870,111Y12M
65000,新北市,65000010,板橋區,65000010-059,玉光里,22,10,12,11,4,7,11,6,5,5627,111Y12M
65000,新北市,65000010,板橋區,65000010-060,光仁里,8,3,5,8,3,5,0,0,0,2890,111Y12M
65000,新北市,65000010,板橋區,65000010-061,埤墘里,16,7,9,11,5,6,5,2,3,4691,111Y12M
65000,新北市,65000010,板橋區,65000010-062,永安里,45,23,22,32,18,14,13,5,8,3814,111Y12M
65000,新北市,65000010,板橋區,65000010-063,雙玉里,19,6,13,8,4,4,11,2,9,4302,111Y12M
65000,新北市,65000010,板橋區,65000010-064,廣新里,27,10,17,19,7,12,8,3,5,3652,111Y12M
65000,新北市,65000010,板橋區,65000010-065,深丘里,27,12,15,20,11,9,7,1,6,9075,111Y12M
65000,新北市,65000010,板橋區,65000010-066,香丘里,10,5,5,5,4,1,5,1,4,3966,111Y12M
65000,新北市,65000010,板橋區,65000010-067,西安里,18,6,12,7,1,6,11,5,6,2786,111Y12M
65000,新北市,65000010,板橋區,65000010-068,東丘里,42,19,23,25,10,15,17,9,8,4664,111Y12M
