COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,O_CNT,O_M_CNT,O_F_CNT,O1_CNT,O1_M_CNT,O1_F_CNT,O2_CNT,O2_M_CNT,O2_F_CNT,NON_O_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,原住民人口數,原住民男性人口數,原住民女性人口數,平地原住民人口數,平地原住民男性人口數,平地原住民女性人口數,山地原住民人口數,山地原住民男性人口數,山地原住民女性人口數,非原住民人口數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,12,3,9,9,3,6,3,0,3,1647,110Y12M
65000,新北市,65000010,板橋區,65000010-002,流芳里,1,0,1,0,0,0,1,0,1,1477,110Y12M
65000,新北市,65000010,板橋區,65000010-003,赤松里,8,4,4,5,4,1,3,0,3,1028,110Y12M
65000,新北市,65000010,板橋區,65000010-004,黃石里,5,2,3,5,2,3,0,0,0,1289,110Y12M
65000,新北市,65000010,板橋區,65000010-005,挹秀里,9,5,4,6,5,1,3,0,3,1954,110Y12M
65000,新北市,65000010,板橋區,65000010-006,湳興里,39,20,19,26,15,11,13,5,8,5220,110Y12M
65000,新北市,65000010,板橋區,65000010-007,新興里,18,9,9,12,8,4,6,1,5,3261,110Y12M
65000,新北市,65000010,板橋區,65000010-008,社後里,111,58,53,82,46,36,29,12,17,9674,110Y12M
65000,新北市,65000010,板橋區,65000010-009,香社里,45,21,24,24,11,13,21,10,11,4513,110Y12M
65000,新北市,65000010,板橋區,65000010-010,中正里,49,24,25,29,16,13,20,8,12,5890,110Y12M
65000,新北市,65000010,板橋區,65000010-011,自強里,27,10,17,16,7,9,11,3,8,5160,110Y12M
65000,新北市,65000010,板橋區,65000010-012,自立里,14,6,8,10,4,6,4,2,2,2753,110Y12M
65000,新北市,65000010,板橋區,65000010-013,光華里,15,3,12,9,2,7,6,1,5,2674,110Y12M
65000,新北市,65000010,板橋區,65000010-014,國光里,22,6,16,10,2,8,12,4,8,3678,110Y12M
65000,新北市,65000010,板橋區,65000010-015,港尾里,22,12,10,16,7,9,6,5,1,2919,110Y12M
65000,新北市,65000010,板橋區,65000010-016,金華里,26,7,19,19,5,14,7,2,5,4015,110Y12M
65000,新北市,65000010,板橋區,65000010-017,港德里,30,15,15,14,8,6,16,7,9,4738,110Y12M
65000,新北市,65000010,板橋區,65000010-018,民權里,12,6,6,5,4,1,7,2,5,2649,110Y12M
65000,新北市,65000010,板橋區,65000010-019,建國里,17,7,10,13,5,8,4,2,2,3545,110Y12M
65000,新北市,65000010,板橋區,65000010-020,漢生里,21,5,16,15,4,11,6,1,5,4305,110Y12M
65000,新北市,65000010,板橋區,65000010-021,公■里,28,16,12,22,11,11,6,5,1,3941,110Y12M
65000,新北市,65000010,板橋區,65000010-022,新民里,23,7,16,12,4,8,11,3,8,4500,110Y12M
65000,新北市,65000010,板橋區,65000010-023,幸福里,27,13,14,15,7,8,12,6,6,4058,110Y12M
65000,新北市,65000010,板橋區,65000010-024,忠誠里,27,9,18,14,5,9,13,4,9,4323,110Y12M
65000,新北市,65000010,板橋區,65000010-025,百壽里,18,5,13,12,5,7,6,0,6,2988,110Y12M
65000,新北市,65000010,板橋區,65000010-026,介壽里,18,4,14,12,4,8,6,0,6,3183,110Y12M
65000,新北市,65000010,板橋區,65000010-027,新埔里,12,4,8,5,1,4,7,3,4,2090,110Y12M
65000,新北市,65000010,板橋區,65000010-028,華江里,25,9,16,14,4,10,11,5,6,7859,110Y12M
65000,新北市,65000010,板橋區,65000010-029,江翠里,29,12,17,20,10,10,9,2,7,5183,110Y12M
65000,新北市,65000010,板橋區,65000010-030,純翠里,36,15,21,26,11,15,10,4,6,5514,110Y12M
65000,新北市,65000010,板橋區,65000010-031,溪頭里,31,13,18,17,9,8,14,4,10,7230,110Y12M
65000,新北市,65000010,板橋區,65000010-032,聯翠里,17,8,9,11,6,5,6,2,4,3729,110Y12M
65000,新北市,65000010,板橋區,65000010-033,宏翠里,32,8,24,26,6,20,6,2,4,5551,110Y12M
65000,新北市,65000010,板橋區,65000010-034,仁翠里,31,12,19,22,8,14,9,4,5,2846,110Y12M
65000,新北市,65000010,板橋區,65000010-035,新翠里,49,25,24,29,15,14,20,10,10,8261,110Y12M
65000,新北市,65000010,板橋區,65000010-036,吉翠里,36,16,20,24,10,14,12,6,6,3810,110Y12M
65000,新北市,65000010,板橋區,65000010-037,德翠里,54,22,32,31,14,17,23,8,15,7329,110Y12M
65000,新北市,65000010,板橋區,65000010-038,滿翠里,39,17,22,26,12,14,13,5,8,2992,110Y12M
65000,新北市,65000010,板橋區,65000010-039,明翠里,28,16,12,18,9,9,10,7,3,4745,110Y12M
65000,新北市,65000010,板橋區,65000010-040,松翠里,13,6,7,12,6,6,1,0,1,3381,110Y12M
65000,新北市,65000010,板橋區,65000010-041,柏翠里,11,4,7,8,4,4,3,0,3,4842,110Y12M
65000,新北市,65000010,板橋區,65000010-042,龍翠里,34,17,17,29,16,13,5,1,4,4969,110Y12M
65000,新北市,65000010,板橋區,65000010-043,華翠里,18,10,8,3,2,1,15,8,7,3583,110Y12M
65000,新北市,65000010,板橋區,65000010-044,忠翠里,40,10,30,17,6,11,23,4,19,10831,110Y12M
65000,新北市,65000010,板橋區,65000010-045,嵐翠里,10,4,6,10,4,6,0,0,0,2435,110Y12M
65000,新北市,65000010,板橋區,65000010-046,文翠里,22,11,11,18,7,11,4,4,0,3925,110Y12M
65000,新北市,65000010,板橋區,65000010-047,青翠里,15,8,7,13,8,5,2,0,2,2982,110Y12M
65000,新北市,65000010,板橋區,65000010-048,懷翠里,38,10,28,32,9,23,6,1,5,6157,110Y12M
65000,新北市,65000010,板橋區,65000010-049,福翠里,1,0,1,0,0,0,1,0,1,1386,110Y12M
65000,新北市,65000010,板橋區,65000010-050,港嘴里,46,15,31,33,9,24,13,6,7,5997,110Y12M
65000,新北市,65000010,板橋區,65000010-051,振興里,18,4,14,5,1,4,13,3,10,4360,110Y12M
65000,新北市,65000010,板橋區,65000010-052,振義里,42,16,26,21,8,13,21,8,13,4175,110Y12M
65000,新北市,65000010,板橋區,65000010-053,光復里,40,14,26,37,12,25,3,2,1,3363,110Y12M
65000,新北市,65000010,板橋區,65000010-054,埔墘里,32,12,20,16,6,10,16,6,10,6287,110Y12M
65000,新北市,65000010,板橋區,65000010-055,長壽里,17,3,14,5,1,4,12,2,10,2939,110Y12M
65000,新北市,65000010,板橋區,65000010-056,福壽里,13,4,9,8,2,6,5,2,3,3277,110Y12M
