COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,博士人口數,碩士人口數,大學院校人口數,專科人口數,高中職人口數,國中初職人口數,小學人口數,自修人口數,不識字人口數,資料時間
65000,新北市,65000010,板橋區,65000010-001,留侯里,9,104,442,172,436,169,87,2,2,110Y
65000,新北市,65000010,板橋區,65000010-002,流芳里,13,117,431,179,307,121,77,0,2,110Y
65000,新北市,65000010,板橋區,65000010-003,赤松里,8,117,315,115,191,64,56,0,5,110Y
65000,新北市,65000010,板橋區,65000010-004,黃石里,8,96,333,136,318,74,79,1,1,110Y
65000,新北市,65000010,板橋區,65000010-005,挹秀里,24,205,598,250,400,85,80,1,2,110Y
65000,新北市,65000010,板橋區,65000010-006,湳興里,23,355,1344,585,1375,491,445,9,21,110Y
65000,新北市,65000010,板橋區,65000010-007,新興里,23,234,816,373,847,337,311,3,19,110Y
65000,新北市,65000010,板橋區,65000010-008,社後里,32,430,1906,1028,3085,1683,895,17,56,110Y
65000,新北市,65000010,板橋區,65000010-009,香社里,18,241,1194,525,1205,465,409,3,15,110Y
65000,新北市,65000010,板橋區,65000010-010,中正里,27,449,1620,575,1405,596,438,5,29,110Y
65000,新北市,65000010,板橋區,65000010-011,自強里,48,553,1685,615,1044,281,271,4,14,110Y
65000,新北市,65000010,板橋區,65000010-012,自立里,15,149,695,299,706,330,281,5,17,110Y
65000,新北市,65000010,板橋區,65000010-013,光華里,22,214,780,311,644,248,174,2,7,110Y
65000,新北市,65000010,板橋區,65000010-014,國光里,43,403,1254,480,774,236,208,2,16,110Y
65000,新北市,65000010,板橋區,65000010-015,港尾里,17,260,830,363,660,220,187,3,7,110Y
65000,新北市,65000010,板橋區,65000010-016,金華里,9,175,937,431,985,523,429,6,28,110Y
65000,新北市,65000010,板橋區,65000010-017,港德里,18,262,1088,494,1235,569,540,8,31,110Y
65000,新北市,65000010,板橋區,65000010-018,民權里,20,200,765,313,617,216,237,5,7,110Y
65000,新北市,65000010,板橋區,65000010-019,建國里,13,174,888,392,868,428,372,6,20,110Y
65000,新北市,65000010,板橋區,65000010-020,漢生里,40,398,1199,497,877,304,275,3,15,110Y
65000,新北市,65000010,板橋區,65000010-021,公■里,25,246,1018,431,951,374,333,7,26,110Y
65000,新北市,65000010,板橋區,65000010-022,新民里,29,313,1165,510,998,382,298,11,14,110Y
65000,新北市,65000010,板橋區,65000010-023,幸福里,9,207,995,433,1039,475,435,9,23,110Y
65000,新北市,65000010,板橋區,65000010-024,忠誠里,29,406,1336,553,846,271,221,8,15,110Y
65000,新北市,65000010,板橋區,65000010-025,百壽里,16,210,750,309,632,273,220,3,6,110Y
65000,新北市,65000010,板橋區,65000010-026,介壽里,13,174,763,368,755,265,273,7,22,110Y
65000,新北市,65000010,板橋區,65000010-027,新埔里,13,154,571,255,488,212,198,5,6,110Y
65000,新北市,65000010,板橋區,65000010-028,華江里,61,812,2297,829,1423,523,350,10,23,110Y
65000,新北市,65000010,板橋區,65000010-029,江翠里,36,363,1327,564,1318,551,449,9,40,110Y
65000,新北市,65000010,板橋區,65000010-030,純翠里,20,307,1483,617,1312,627,485,15,28,110Y
65000,新北市,65000010,板橋區,65000010-031,溪頭里,53,648,2090,722,1584,672,555,11,44,110Y
65000,新北市,65000010,板橋區,65000010-032,聯翠里,36,387,1181,416,787,317,267,4,14,110Y
65000,新北市,65000010,板橋區,65000010-033,宏翠里,26,396,1538,650,1308,552,398,22,18,110Y
65000,新北市,65000010,板橋區,65000010-034,仁翠里,6,102,622,306,750,377,384,9,32,110Y
65000,新北市,65000010,板橋區,65000010-035,新翠里,58,624,2433,948,1894,763,545,15,31,110Y
65000,新北市,65000010,板橋區,65000010-036,吉翠里,6,140,878,381,1018,505,396,9,25,110Y
65000,新北市,65000010,板橋區,65000010-037,德翠里,27,477,2048,872,1711,769,497,8,20,110Y
65000,新北市,65000010,板橋區,65000010-038,滿翠里,3,112,673,314,825,397,369,5,30,110Y
65000,新北市,65000010,板橋區,65000010-039,明翠里,18,274,1180,520,1179,599,516,7,23,110Y
65000,新北市,65000010,板橋區,65000010-040,松翠里,11,231,902,380,887,324,307,2,19,110Y
65000,新北市,65000010,板橋區,65000010-041,柏翠里,31,414,1420,532,1096,392,360,4,19,110Y
65000,新北市,65000010,板橋區,65000010-042,龍翠里,27,395,1389,537,1174,462,456,15,35,110Y
65000,新北市,65000010,板橋區,65000010-043,華翠里,16,301,970,371,835,331,257,4,23,110Y
65000,新北市,65000010,板橋區,65000010-044,忠翠里,112,1319,3449,1232,2008,649,494,9,34,110Y
65000,新北市,65000010,板橋區,65000010-045,嵐翠里,6,90,499,254,713,359,251,6,15,110Y
65000,新北市,65000010,板橋區,65000010-046,文翠里,12,233,1098,412,955,411,387,8,28,110Y
65000,新北市,65000010,板橋區,65000010-047,青翠里,8,130,681,291,799,437,315,7,22,110Y
65000,新北市,65000010,板橋區,65000010-048,懷翠里,24,297,1542,673,1574,802,575,23,36,110Y
65000,新北市,65000010,板橋區,65000010-049,福翠里,5,52,306,143,400,171,161,2,7,110Y
65000,新北市,65000010,板橋區,65000010-050,港嘴里,21,364,1591,675,1515,688,562,14,27,110Y
65000,新北市,65000010,板橋區,65000010-051,振興里,10,188,1060,462,1213,560,461,10,42,110Y
65000,新北市,65000010,板橋區,65000010-052,振義里,15,183,978,448,1181,503,457,12,50,110Y
65000,新北市,65000010,板橋區,65000010-053,光復里,19,205,826,409,908,351,298,5,18,110Y
65000,新北市,65000010,板橋區,65000010-054,埔墘里,31,375,1750,728,1588,683,512,12,38,110Y
65000,新北市,65000010,板橋區,65000010-055,長壽里,16,171,808,325,739,284,256,6,19,110Y
65000,新北市,65000010,板橋區,65000010-056,福壽里,15,236,924,356,833,347,254,8,16,110Y
65000,新北市,65000010,板橋區,65000010-057,海山里,53,634,2174,833,1706,600,530,5,35,110Y
65000,新北市,65000010,板橋區,65000010-058,九如里,11,127,737,278,800,308,284,5,33,110Y
65000,新北市,65000010,板橋區,65000010-059,玉光里,29,337,1405,613,1334,531,446,12,28,110Y
65000,新北市,65000010,板橋區,65000010-060,光仁里,4,169,742,307,711,272,287,4,13,110Y
65000,新北市,65000010,板橋區,65000010-061,埤墘里,25,332,1176,501,1015,452,348,14,20,110Y
65000,新北市,65000010,板橋區,65000010-062,永安里,11,236,930,409,871,372,349,9,24,110Y
65000,新北市,65000010,板橋區,65000010-063,雙玉里,14,237,1008,468,1096,462,370,9,33,110Y
65000,新北市,65000010,板橋區,65000010-064,廣新里,7,141,787,366,997,434,346,8,29,110Y
65000,新北市,65000010,板橋區,65000010-065,深丘里,86,971,2704,1035,1590,517,375,6,17,110Y
65000,新北市,65000010,板橋區,65000010-066,香丘里,21,270,983,432,866,351,313,10,19,110Y
65000,新北市,65000010,板橋區,65000010-067,西安里,12,202,741,290,615,307,197,5,22,110Y
65000,新北市,65000010,板橋區,65000010-068,東丘里,22,296,1133,497,1138,454,452,10,25,110Y
65000,新北市,65000010,板橋區,65000010-069,長安里,29,377,1261,521,1068,363,278,4,22,110Y
65000,新北市,65000010,板橋區,65000010-070,福丘里,82,620,1620,616,902,180,189,3,9,110Y
65000,新北市,65000010,板橋區,65000010-071,福祿里,27,317,1121,463,930,352,287,9,17,110Y
65000,新北市,65000010,板橋區,65000010-072,民族里,46,506,1385,615,938,257,314,4,18,110Y
65000,新北市,65000010,板橋區,65000010-073,國泰里,16,266,978,474,844,346,300,9,15,110Y
65000,新北市,65000010,板橋區,65000010-074,福德里,33,368,1339,608,1223,417,473,3,20,110Y
65000,新北市,65000010,板橋區,65000010-075,景星里,28,309,1006,427,823,257,222,7,7,110Y
65000,新北市,65000010,板橋區,65000010-076,福星里,36,315,1101,403,780,281,228,6,12,110Y
65000,新北市,65000010,板橋區,65000010-077,鄉雲里,33,287,1134,478,841,340,296,1,15,110Y
65000,新北市,65000010,板橋區,65000010-078,廣德里,37,538,1909,798,1721,524,504,6,17,110Y
65000,新北市,65000010,板橋區,65000010-079,大豐里,21,277,1275,588,1151,429,434,5,7,110Y
65000,新北市,65000010,板橋區,65000010-080,重慶里,30,515,2353,1047,2198,868,658,10,20,110Y
65000,新北市,65000010,板橋區,65000010-081,仁愛里,14,184,816,429,793,291,212,1,7,110Y
65000,新北市,65000010,板橋區,65000010-082,和平里,31,470,1260,493,806,217,180,3,13,110Y
65000,新北市,65000010,板橋區,65000010-083,廣福里,8,231,993,485,1077,458,329,6,18,110Y
65000,新北市,65000010,板橋區,65000010-084,華興里,20,289,1189,505,1040,397,339,10,24,110Y
65000,新北市,65000010,板橋區,65000010-085,華貴里,8,134,619,268,662,278,313,1,10,110Y
65000,新北市,65000010,板橋區,65000010-086,華德里,36,556,1902,886,1704,709,509,8,20,110Y
65000,新北市,65000010,板橋區,65000010-087,華東里,104,1000,2666,960,1477,498,389,9,15,110Y
65000,新北市,65000010,板橋區,65000010-088,信義里,9,243,1054,476,1182,479,471,11,25,110Y
65000,新北市,65000010,板橋區,65000010-089,浮洲里,8,152,872,334,1014,538,403,12,38,110Y
65000,新北市,65000010,板橋區,65000010-090,華中里,1,187,1165,456,1516,810,576,12,26,110Y
65000,新北市,65000010,板橋區,65000010-091,僑中里,13,223,1102,394,1115,554,373,9,12,110Y
65000,新北市,65000010,板橋區,65000010-092,中山里,36,417,1774,814,1814,734,603,21,45,110Y
65000,新北市,65000010,板橋區,65000010-093,復興里,1,31,201,93,251,142,138,6,11,110Y
65000,新北市,65000010,板橋區,65000010-094,大安里,11,156,861,405,1074,570,491,6,23,110Y
65000,新北市,65000010,板橋區,65000010-095,福安里,35,515,2112,940,1763,609,470,10,28,110Y
65000,新北市,65000010,板橋區,65000010-096,聚安里,15,190,1128,482,1438,841,568,12,39,110Y
65000,新北市,65000010,板橋區,65000010-097,龍安里,8,105,605,259,768,374,386,8,25,110Y
65000,新北市,65000010,板橋區,65000010-098,崑崙里,28,516,2572,1098,2814,1013,715,26,37,110Y
65000,新北市,65000010,板橋區,65000010-099,溪洲里,11,277,1446,586,1632,800,526,6,27,110Y
65000,新北市,65000010,板橋區,65000010-100,溪北里,14,201,861,346,1043,343,316,6,18,110Y
65000,新北市,65000010,板橋區,65000010-101,香雅里,8,207,756,293,678,308,294,7,16,110Y
65000,新北市,65000010,板橋區,65000010-102,新生里,9,229,1087,420,1028,538,463,10,17,110Y
65000,新北市,65000010,板橋區,65000010-103,文德里,24,252,853,392,727,251,256,6,17,110Y
65000,新北市,65000010,板橋區,65000010-104,文化里,31,277,930,374,731,318,321,4,22,110Y
65000,新北市,65000010,板橋區,65000010-105,新海里,6,136,789,292,937,559,325,9,12,110Y
65000,新北市,65000010,板橋區,65000010-106,莒光里,20,172,816,301,622,288,242,6,13,110Y
65000,新北市,65000010,板橋區,65000010-107,富貴里,16,179,711,262,509,168,192,4,3,110Y
65000,新北市,65000010,板橋區,65000010-108,正泰里,13,206,768,338,749,298,281,2,8,110Y
65000,新北市,65000010,板橋區,65000010-109,民生里,9,149,602,258,558,208,181,6,11,110Y
65000,新北市,65000010,板橋區,65000010-110,後埔里,31,370,1079,488,869,267,249,3,8,110Y
65000,新北市,65000010,板橋區,65000010-111,華福里,9,116,534,240,516,196,186,2,3,110Y
65000,新北市,65000010,板橋區,65000010-112,堂春里,15,196,1043,427,1226,494,376,6,17,110Y
65000,新北市,65000010,板橋區,65000010-113,成和里,30,407,1992,832,1944,622,445,7,33,110Y
65000,新北市,65000010,板橋區,65000010-114,光榮里,19,158,694,292,680,255,216,6,13,110Y
65000,新北市,65000010,板橋區,65000010-115,民安里,10,167,584,259,501,143,145,5,8,110Y
65000,新北市,65000010,板橋區,65000010-116,陽明里,14,166,719,297,648,290,277,3,17,110Y
65000,新北市,65000010,板橋區,65000010-117,朝陽里,8,151,756,342,882,483,390,6,22,110Y
65000,新北市,65000010,板橋區,65000010-118,松柏里,9,147,543,270,581,265,232,4,10,110Y
65000,新北市,65000010,板橋區,65000010-119,文聖里,12,238,1058,439,915,532,354,6,22,110Y
65000,新北市,65000010,板橋區,65000010-120,居仁里,21,288,1074,421,927,422,294,9,23,110Y
65000,新北市,65000010,板橋區,65000010-121,莊敬里,18,415,1259,466,924,337,239,5,22,110Y
65000,新北市,65000010,板橋區,65000010-122,東安里,13,130,516,258,637,276,226,7,17,110Y
65000,新北市,65000010,板橋區,65000010-123,五權里,8,191,968,456,1069,516,446,4,26,110Y
65000,新北市,65000010,板橋區,65000010-124,溪福里,52,802,3929,1640,3985,1396,853,12,41,110Y
65000,新北市,65000010,板橋區,65000010-125,大觀里,7,135,861,318,993,593,338,5,19,110Y
65000,新北市,65000010,板橋區,65000010-126,歡園里,0,34,245,103,376,200,147,2,11,110Y
65000,新北市,65000020,三重區,65000020-001,大有里,18,264,1366,528,1412,768,426,8,26,110Y
65000,新北市,65000020,三重區,65000020-002,二重里,3,58,390,128,441,284,159,2,10,110Y
65000,新北市,65000020,三重區,65000020-003,頂崁里,4,140,743,259,671,356,203,2,10,110Y
65000,新北市,65000020,三重區,65000020-004,谷王里,4,62,243,109,264,124,127,1,10,110Y
65000,新北市,65000020,三重區,65000020-005,中興里,14,235,1098,422,1008,499,366,3,19,110Y
65000,新北市,65000020,三重區,65000020-006,德厚里,1,11,70,36,109,69,46,0,7,110Y
65000,新北市,65000020,三重區,65000020-007,成功里,25,510,1944,796,1667,539,407,7,23,110Y
65000,新北市,65000020,三重區,65000020-008,福祉里,36,466,1698,589,1317,577,371,10,10,110Y
65000,新北市,65000020,三重區,65000020-009,福民里,13,156,869,337,883,447,318,3,28,110Y
65000,新北市,65000020,三重區,65000020-010,過田里,35,434,2011,1023,2962,1766,739,11,48,110Y
65000,新北市,65000020,三重區,65000020-011,錦田里,4,118,561,224,591,244,184,6,9,110Y
65000,新北市,65000020,三重區,65000020-012,重明里,20,290,1054,433,897,345,288,2,16,110Y
65000,新北市,65000020,三重區,65000020-013,光田里,28,273,1194,539,1108,483,437,7,23,110Y
65000,新北市,65000020,三重區,65000020-014,光陽里,16,431,1787,766,1621,710,497,7,32,110Y
65000,新北市,65000020,三重區,65000020-015,田心里,12,175,1018,401,1106,606,424,1,31,110Y
65000,新北市,65000020,三重區,65000020-016,福田里,7,177,909,355,900,521,278,4,18,110Y
65000,新北市,65000020,三重區,65000020-017,田中里,20,350,1668,629,1615,767,551,13,26,110Y
65000,新北市,65000020,三重區,65000020-018,田安里,20,336,1600,649,1678,814,508,8,38,110Y
65000,新北市,65000020,三重區,65000020-019,三民里,15,181,930,335,838,394,251,5,14,110Y
65000,新北市,65000020,三重區,65000020-020,光明里,48,527,2058,810,1938,789,489,7,29,110Y
65000,新北市,65000020,三重區,65000020-021,光正里,26,263,815,322,630,221,179,2,11,110Y
65000,新北市,65000020,三重區,65000020-022,同安里,5,57,285,117,446,262,140,3,12,110Y
65000,新北市,65000020,三重區,65000020-023,同慶里,10,96,494,169,474,223,150,2,15,110Y
65000,新北市,65000020,三重區,65000020-024,菜寮里,7,137,521,221,615,296,217,4,13,110Y
65000,新北市,65000020,三重區,65000020-025,永春里,4,70,478,205,475,257,185,3,14,110Y
65000,新北市,65000020,三重區,65000020-026,中正里,2,71,334,142,373,190,148,1,8,110Y
65000,新北市,65000020,三重區,65000020-027,吉利里,5,72,339,165,364,231,142,4,16,110Y
65000,新北市,65000020,三重區,65000020-028,大同里,9,113,559,235,539,232,165,0,13,110Y
65000,新北市,65000020,三重區,65000020-029,中民里,1,48,292,106,323,216,147,6,13,110Y
65000,新北市,65000020,三重區,65000020-030,平和里,3,39,304,149,416,240,197,2,29,110Y
65000,新北市,65000020,三重區,65000020-031,大安里,4,43,413,157,470,241,187,0,8,110Y
65000,新北市,65000020,三重區,65000020-032,仁德里,2,105,415,175,547,329,258,0,10,110Y
65000,新北市,65000020,三重區,65000020-033,忠孝里,4,74,452,179,505,246,191,3,15,110Y
65000,新北市,65000020,三重區,65000020-034,仁義里,1,74,340,132,392,177,128,1,9,110Y
65000,新北市,65000020,三重區,65000020-035,光榮里,6,80,403,137,377,198,123,1,9,110Y
65000,新北市,65000020,三重區,65000020-036,光輝里,6,62,396,149,394,229,154,1,10,110Y
65000,新北市,65000020,三重區,65000020-037,福星里,9,116,346,102,316,126,102,1,2,110Y
65000,新北市,65000020,三重區,65000020-038,福利里,12,167,673,251,606,241,129,5,9,110Y
65000,新北市,65000020,三重區,65000020-039,清和里,25,304,1135,510,1059,425,271,2,10,110Y
65000,新北市,65000020,三重區,65000020-040,永興里,6,102,385,166,427,162,103,2,6,110Y
65000,新北市,65000020,三重區,65000020-041,中山里,12,176,787,328,655,298,231,1,11,110Y
65000,新北市,65000020,三重區,65000020-042,大園里,10,165,680,265,753,347,272,2,11,110Y
65000,新北市,65000020,三重區,65000020-043,國隆里,3,157,693,311,692,338,232,4,21,110Y
65000,新北市,65000020,三重區,65000020-044,重陽里,15,176,929,361,932,485,328,5,24,110Y
65000,新北市,65000020,三重區,65000020-045,民生里,9,176,1000,437,1166,624,467,6,15,110Y
65000,新北市,65000020,三重區,65000020-046,重新里,7,82,404,143,401,207,145,2,7,110Y
65000,新北市,65000020,三重區,65000020-047,正德里,3,58,243,103,317,158,133,1,5,110Y
65000,新北市,65000020,三重區,65000020-048,正義里,7,87,475,209,454,214,178,1,8,110Y
65000,新北市,65000020,三重區,65000020-049,正安里,9,98,463,213,537,274,194,3,13,110Y
65000,新北市,65000020,三重區,65000020-050,自強里,1,59,442,178,466,295,222,4,7,110Y
65000,新北市,65000020,三重區,65000020-051,文化里,8,135,509,240,604,274,249,2,7,110Y
65000,新北市,65000020,三重區,65000020-052,中央里,10,107,432,177,522,230,220,3,12,110Y
65000,新北市,65000020,三重區,65000020-053,雙園里,2,40,219,103,279,124,95,2,6,110Y
65000,新北市,65000020,三重區,65000020-054,錦通里,6,51,311,135,432,214,207,1,7,110Y
65000,新北市,65000020,三重區,65000020-055,錦安里,3,86,449,196,501,244,203,5,11,110Y
65000,新北市,65000020,三重區,65000020-056,長安里,10,75,485,210,628,302,245,3,8,110Y
65000,新北市,65000020,三重區,65000020-057,光華里,12,156,636,242,615,262,187,0,11,110Y
65000,新北市,65000020,三重區,65000020-058,長生里,4,44,233,86,253,115,95,1,3,110Y
65000,新北市,65000020,三重區,65000020-059,開元里,3,106,391,170,398,212,156,4,14,110Y
65000,新北市,65000020,三重區,65000020-060,大德里,2,32,214,88,259,105,88,0,1,110Y
65000,新北市,65000020,三重區,65000020-061,長元里,7,96,566,223,676,410,281,1,13,110Y
65000,新北市,65000020,三重區,65000020-062,長江里,5,105,487,242,525,309,221,1,17,110Y
65000,新北市,65000020,三重區,65000020-063,長泰里,4,75,512,207,665,330,256,2,13,110Y
65000,新北市,65000020,三重區,65000020-064,長福里,6,86,348,160,440,252,164,3,16,110Y
65000,新北市,65000020,三重區,65000020-065,介壽里,7,49,281,108,316,174,125,0,5,110Y
65000,新北市,65000020,三重區,65000020-066,萬壽里,11,100,513,220,511,282,198,4,11,110Y
65000,新北市,65000020,三重區,65000020-067,錦江里,6,56,486,191,676,476,251,4,22,110Y
65000,新北市,65000020,三重區,65000020-068,龍濱里,12,141,825,314,883,535,293,8,33,110Y
65000,新北市,65000020,三重區,65000020-069,龍門里,7,86,488,180,511,266,184,5,12,110Y
65000,新北市,65000020,三重區,65000020-070,秀江里,5,51,283,131,312,233,145,0,10,110Y
65000,新北市,65000020,三重區,65000020-071,奕壽里,7,90,444,184,454,216,168,2,12,110Y
65000,新北市,65000020,三重區,65000020-072,三安里,10,145,652,273,720,374,275,3,16,110Y
65000,新北市,65000020,三重區,65000020-073,福安里,8,126,794,315,773,414,291,3,28,110Y
65000,新北市,65000020,三重區,65000020-074,信安里,6,128,527,236,499,261,182,1,14,110Y
