COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,E1314_CNT,E1112_CNT,E2122_CNT,E3_4_5_CNT,E6_7_CNT,E8_9_CNT,E1_2_CNT,E03_CNT,E04_CNT,INFO_TIME
┐делеN╜X,┐делжW║┘,╢m┬эел░╧еN╜X,╢m┬эел░╧жW║┘,з°и╜еN╜X,з°и╜жW║┘,│╒дhдHдf╝╞,║╙дhдHдf╝╞,дj╛╟░|о╒дHдf╝╞,▒MмьдHдf╝╞,░кдд┬╛дHдf╝╞,░ъддкь┬╛дHдf╝╞,дp╛╟дHдf╝╞,ж█н╫дHдf╝╞,дг├╤жrдHдf╝╞,╕ъо╞о╔╢б
10002,йy─ї┐д,10002100,дTмP╢m,10002100-005,дHйMз°,1,12,65,41,132,90,82,7,23,"107Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-017,дjмwз°,6,74,332,209,496,256,228,13,8,"107Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-015,дj╕qз°,4,50,260,126,327,290,194,13,9,"107Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-010,дj┴Їз°,28,159,865,542,1272,855,619,29,54,"107Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-002,д╤дsз°,3,10,63,48,138,128,121,7,17,"107Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-003,д╤║╓з°,1,15,143,66,233,124,150,15,18,"107Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-008,дым▄з°,1,27,147,112,271,182,149,17,12,"107Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-011,жц░╖з°,4,46,168,113,234,197,147,1,11,"107Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-018,з└╣╒з°,8,57,316,163,500,212,205,11,5,"107Y"
10002,йy─ї┐д,10002100,дTмP╢m,10002100-016,й|кZз°,1,28,136,81,222,175,123,9,16,"107Y"
