COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
65000,新北市,65000010,板橋區,65000010-055,長壽里,322,179,143,1926,975,951,666,304,362,112Y12M
65000,新北市,65000010,板橋區,65000010-056,福壽里,304,133,171,2326,1156,1170,641,278,363,112Y12M
65000,新北市,65000010,板橋區,65000010-057,海山里,1524,765,759,5391,2517,2874,1315,588,727,112Y12M
65000,新北市,65000010,板橋區,65000010-058,九如里,353,179,174,2021,1019,1002,567,243,324,112Y12M
65000,新北市,65000010,板橋區,65000010-059,玉光里,915,492,423,3922,1821,2101,892,390,502,112Y12M
65000,新北市,65000010,板橋區,65000010-060,光仁里,414,234,180,1911,946,965,578,264,314,112Y12M
65000,新北市,65000010,板橋區,65000010-061,埤墘里,856,451,405,3119,1480,1639,764,333,431,112Y12M
65000,新北市,65000010,板橋區,65000010-062,永安里,670,331,339,2589,1257,1332,670,281,389,112Y12M
65000,新北市,65000010,板橋區,65000010-063,雙玉里,623,339,284,2966,1462,1504,722,306,416,112Y12M
65000,新北市,65000010,板橋區,65000010-064,廣新里,559,286,273,2384,1171,1213,730,325,405,112Y12M
65000,新北市,65000010,板橋區,65000010-065,深丘里,1811,896,915,5886,2800,3086,1535,716,819,112Y12M
65000,新北市,65000010,板橋區,65000010-066,香丘里,717,363,354,2504,1196,1308,715,313,402,112Y12M
65000,新北市,65000010,板橋區,65000010-067,西安里,440,241,199,1800,883,917,563,241,322,112Y12M
65000,新北市,65000010,板橋區,65000010-068,東丘里,651,331,320,3117,1527,1590,923,401,522,112Y12M
65000,新北市,65000010,板橋區,65000010-069,長安里,880,427,453,3129,1512,1617,751,339,412,112Y12M
65000,新北市,65000010,板橋區,65000010-070,福丘里,883,431,452,3456,1566,1890,951,424,527,112Y12M
65000,新北市,65000010,板橋區,65000010-071,福祿里,642,345,297,2881,1351,1530,794,348,446,112Y12M
65000,新北市,65000010,板橋區,65000010-072,民族里,1140,571,569,3242,1540,1702,841,387,454,112Y12M
65000,新北市,65000010,板橋區,65000010-073,國泰里,460,247,213,2534,1232,1302,699,282,417,112Y12M
65000,新北市,65000010,板橋區,65000010-074,福德里,558,306,252,3471,1739,1732,1030,463,567,112Y12M
65000,新北市,65000010,板橋區,65000010-075,景星里,360,195,165,2500,1179,1321,700,324,376,112Y12M
65000,新北市,65000010,板橋區,65000010-076,福星里,391,183,208,2394,1154,1240,729,340,389,112Y12M
65000,新北市,65000010,板橋區,65000010-077,鄉雲里,369,198,171,2658,1265,1393,765,317,448,112Y12M
65000,新北市,65000010,板橋區,65000010-078,廣德里,852,457,395,4846,2364,2482,1319,586,733,112Y12M
65000,新北市,65000010,板橋區,65000010-079,大豐里,460,233,227,3100,1547,1553,1020,416,604,112Y12M
65000,新北市,65000010,板橋區,65000010-080,重慶里,1034,540,494,6242,2994,3248,1518,687,831,112Y12M
65000,新北市,65000010,板橋區,65000010-081,仁愛里,292,159,133,1990,1020,970,711,306,405,112Y12M
65000,新北市,65000010,板橋區,65000010-082,和平里,727,368,359,3197,1485,1712,490,193,297,112Y12M
65000,新北市,65000010,板橋區,65000010-083,廣福里,471,240,231,2865,1404,1461,681,311,370,112Y12M
65000,新北市,65000010,板橋區,65000010-084,華興里,433,220,213,2985,1454,1531,801,337,464,112Y12M
65000,新北市,65000010,板橋區,65000010-085,華貴里,276,148,128,1728,865,863,554,226,328,112Y12M
65000,新北市,65000010,板橋區,65000010-086,華德里,758,387,371,5024,2416,2608,1293,590,703,112Y12M
65000,新北市,65000010,板橋區,65000010-087,華東里,887,453,434,5743,2816,2927,1569,695,874,112Y12M
65000,新北市,65000010,板橋區,65000010-088,信義里,442,220,222,3018,1516,1502,927,404,523,112Y12M
65000,新北市,65000010,板橋區,65000010-089,浮洲里,381,184,197,2578,1329,1249,736,336,400,112Y12M
65000,新北市,65000010,板橋區,65000010-090,華中里,618,298,320,3600,1819,1781,1024,484,540,112Y12M
65000,新北市,65000010,板橋區,65000010-091,僑中里,500,248,252,3076,1526,1550,682,346,336,112Y12M
65000,新北市,65000010,板橋區,65000010-092,中山里,851,447,404,5267,2592,2675,1172,506,666,112Y12M
65000,新北市,65000010,板橋區,65000010-093,復興里,85,45,40,503,272,231,337,238,99,112Y12M
65000,新北市,65000010,板橋區,65000010-094,大安里,417,231,186,2726,1419,1307,856,378,478,112Y12M
65000,新北市,65000010,板橋區,65000010-095,福安里,951,478,473,5658,2736,2922,1155,471,684,112Y12M
65000,新北市,65000010,板橋區,65000010-096,聚安里,568,277,291,3602,1818,1784,1059,481,578,112Y12M
65000,新北市,65000010,板橋區,65000010-097,龍安里,289,166,123,1862,892,970,609,265,344,112Y12M
65000,新北市,65000010,板橋區,65000010-098,崑崙里,1275,663,612,7371,3645,3726,1460,626,834,112Y12M
65000,新北市,65000010,板橋區,65000010-099,溪洲里,691,360,331,4120,2037,2083,1144,509,635,112Y12M
65000,新北市,65000010,板橋區,65000010-100,溪北里,443,230,213,2525,1272,1253,665,279,386,112Y12M
65000,新北市,65000010,板橋區,65000010-101,香雅里,278,146,132,1975,995,980,576,256,320,112Y12M
65000,新北市,65000010,板橋區,65000010-102,新生里,527,272,255,2720,1369,1351,986,456,530,112Y12M
65000,新北市,65000010,板橋區,65000010-103,文德里,282,154,128,2362,1187,1175,630,275,355,112Y12M
65000,新北市,65000010,板橋區,65000010-104,文化里,365,179,186,2316,1120,1196,713,324,389,112Y12M
65000,新北市,65000010,板橋區,65000010-105,新海里,379,193,186,2348,1191,1157,666,308,358,112Y12M
65000,新北市,65000010,板橋區,65000010-106,莒光里,314,167,147,1833,909,924,600,254,346,112Y12M
65000,新北市,65000010,板橋區,65000010-107,富貴里,237,119,118,1544,736,808,529,249,280,112Y12M
65000,新北市,65000010,板橋區,65000010-108,正泰里,375,200,175,1989,950,1039,637,276,361,112Y12M
65000,新北市,65000010,板橋區,65000010-109,民生里,333,175,158,1532,727,805,421,189,232,112Y12M
65000,新北市,65000010,板橋區,65000010-110,後埔里,438,221,217,2558,1254,1304,863,368,495,112Y12M
65000,新北市,65000010,板橋區,65000010-111,華福里,197,91,106,1231,600,631,504,221,283,112Y12M
65000,新北市,65000010,板橋區,65000010-112,堂春里,580,295,285,3116,1562,1554,640,293,347,112Y12M
65000,新北市,65000010,板橋區,65000010-113,成和里,1076,558,518,5532,2693,2839,873,385,488,112Y12M
65000,新北市,65000010,板橋區,65000010-114,光榮里,266,139,127,1651,844,807,589,276,313,112Y12M
65000,新北市,65000010,板橋區,65000010-115,民安里,353,174,179,1304,618,686,501,210,291,112Y12M
65000,新北市,65000010,板橋區,65000010-116,陽明里,236,120,116,1773,886,887,642,281,361,112Y12M
65000,新北市,65000010,板橋區,65000010-117,朝陽里,414,220,194,2247,1105,1142,745,303,442,112Y12M
65000,新北市,65000010,板橋區,65000010-118,松柏里,189,95,94,1565,765,800,492,220,272,112Y12M
65000,新北市,65000010,板橋區,65000010-119,文聖里,412,209,203,2797,1398,1399,666,276,390,112Y12M
65000,新北市,65000010,板橋區,65000010-120,居仁里,502,273,229,2845,1400,1445,655,293,362,112Y12M
65000,新北市,65000010,板橋區,65000010-121,莊敬里,778,414,364,3114,1455,1659,616,264,352,112Y12M
65000,新北市,65000010,板橋區,65000010-122,東安里,483,231,252,1594,794,800,477,206,271,112Y12M
