TAG,COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,FLD01,FLD02,FLD03,FLD04,FLD05,FLD06,FLD07,FLD08,INFO_TIME
標籤,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,資料時間
,09007,連江縣,09007010,南竿鄉,09007010-001,介壽村,854,783796,918,681,373,1187,862.51,93.98,"111Y"
,09007,連江縣,09007010,南竿鄉,09007010-002,復興村,324,292847,904,690,336,1166,843.03,93.27,"111Y"
,09007,連江縣,09007010,南竿鄉,09007010-003,福沃村,325,281920,867,707,389,1109,717.83,82.75,"111Y"
,09007,連江縣,09007010,南竿鄉,09007010-004,清水村,454,400146,881,664,382,1154,790.18,89.65,"111Y"
,09007,連江縣,09007010,南竿鄉,09007010-005,仁愛村,317,238841,753,614,461,825,659.15,87.49,"111Y"
,09007,連江縣,09007010,南竿鄉,09007010-006,津沙村,131,105214,803,644,321,1021,748.76,93.23,"111Y"
,09007,連江縣,09007010,南竿鄉,09007010-007,馬祖村,187,160453,858,549,325,1025,907.57,105.77,"111Y"
,09007,連江縣,09007010,南竿鄉,09007010-008,珠螺村,116,79325,684,598,434,814,478.19,69.93,"111Y"
,09007,連江縣,09007010,南竿鄉,09007010-009,四維村,59,84106,1426,620,261,1204,4068.97,285.44,"111Y"
X,09007,連江縣,09007010,南竿鄉,09007010-999,其    他,0,0,0,0,0,0,0,0,"111Y"
,09007,連江縣,09007020,北竿鄉,09007020-001,塘岐村,432,337255,781,602,308,1004,737.48,94.47,"111Y"
,09007,連江縣,09007020,北竿鄉,09007020-002,后沃村,76,64786,852,587,306,1155,749.97,87.98,"111Y"
,09007,連江縣,09007020,北竿鄉,09007020-003,橋仔村,160,106679,667,582,296,829,646.73,97,"111Y"
,09007,連江縣,09007020,北竿鄉,09007020-004,芹壁村,237,177996,751,603,490,795,659.53,87.82,"111Y"
,09007,連江縣,09007020,北竿鄉,09007020-005,?里村,119,79195,666,498,305,782,632.11,94.98,"111Y"
,09007,連江縣,09007020,北竿鄉,09007020-006,白沙村,57,38868,682,483,289,883,732.71,107.45,"111Y"
X,09007,連江縣,09007020,北竿鄉,09007020-999,其    他,0,0,0,0,0,0,0,0,"111Y"
,09007,連江縣,09007030,莒光鄉,09007030-001,?帆村,146,122471,839,727,352,1127,672.28,80.14,"111Y"
,09007,連江縣,09007030,莒光鄉,09007030-002,田沃村,84,63207,752,629,218,1149,619.89,82.38,"111Y"
,09007,連江縣,09007030,莒光鄉,09007030-003,西坵村,43,30360,706,656,509,788,379.82,53.79,"111Y"
,09007,連江縣,09007030,莒光鄉,09007030-004,福正村,62,45735,738,464,332,891,802.08,108.73,"111Y"
,09007,連江縣,09007030,莒光鄉,09007030-005,大坪村,190,152573,803,615,371,1042,691.89,86.16,"111Y"
X,09007,連江縣,09007030,莒光鄉,09007030-999,其    他,0,0,0,0,0,0,0,0,"111Y"
,09007,連江縣,09007040,東引鄉,09007040-001,中柳村,284,222904,785,633,482,971,590.66,75.26,"111Y"
,09007,連江縣,09007040,東引鄉,09007040-002,樂華村,407,318095,782,657,491,923,631.95,80.86,"111Y"
X,09007,連江縣,09007040,東引鄉,09007040-999,其    他,0,0,0,0,0,0,0,0,"111Y"
,09020,金門縣,09020010,金城鎮,09020010-001,東門里,1655,1310967,792,561,278,1046,810.43,102.31,"111Y"
,09020,金門縣,09020010,金城鎮,09020010-002,西門里,3645,3352290,920,623,320,1204,1097.3,119.31,"111Y"
,09020,金門縣,09020010,金城鎮,09020010-003,南門里,1883,1539761,818,579,287,1012,982.87,120.2,"111Y"
,09020,金門縣,09020010,金城鎮,09020010-004,北門里,1387,1184580,854,552,274,1039,984.18,115.24,"111Y"
,09020,金門縣,09020010,金城鎮,09020010-005,古城里,1379,1059577,768,563,274,992,783.5,101.97,"111Y"
,09020,金門縣,09020010,金城鎮,09020010-006,金水里,816,617969,757,558,276,1006,791.26,104.48,"111Y"
,09020,金門縣,09020010,金城鎮,09020010-007,珠沙里,1059,819520,774,557,261,964,872.81,112.79,"111Y"
,09020,金門縣,09020010,金城鎮,09020010-008,賢庵里,1773,1341065,756,543,270,971,775.05,102.47,"111Y"
X,09020,金門縣,09020010,金城鎮,09020010-999,其    他,0,0,0,0,0,0,0,0,"111Y"
,09020,金門縣,09020020,金沙鎮,09020020-001,汶沙里,1761,1369131,777,564,274,1021,777.65,100.02,"111Y"
,09020,金門縣,09020020,金沙鎮,09020020-002,三山里,657,467603,712,526,254,949,727.3,102.19,"111Y"
,09020,金門縣,09020020,金沙鎮,09020020-003,大洋里,432,336442,779,537,272,922,960.8,123.37,"111Y"
,09020,金門縣,09020020,金沙鎮,09020020-004,光前里,823,642427,781,574,276,995,854.23,109.43,"111Y"
,09020,金門縣,09020020,金沙鎮,09020020-005,何斗里,689,583132,846,545,293,1062,1090.67,128.87,"111Y"
,09020,金門縣,09020020,金沙鎮,09020020-006,西園里,509,402362,790,557,275,962,937.23,118.56,"111Y"
,09020,金門縣,09020020,金沙鎮,09020020-007,官嶼里,784,654671,835,552,309,1034,943.03,112.93,"111Y"
,09020,金門縣,09020020,金沙鎮,09020020-008,浦山里,804,586407,729,500,234,915,834.7,114.44,"111Y"
X,09020,金門縣,09020020,金沙鎮,09020020-999,其    他,1,660,660,660,660,660,0,0,"111Y"
,09020,金門縣,09020030,金湖鎮,09020030-001,新市里,1463,1423547,973,622,330,1125,1431.28,147.09,"111Y"
,09020,金門縣,09020030,金湖鎮,09020030-002,山外里,1308,997799,763,568,310,916,773.87,101.45,"111Y"
,09020,金門縣,09020030,金湖鎮,09020030-003,正義里,1003,750606,748,544,293,897,927.15,123.89,"111Y"
,09020,金門縣,09020030,金湖鎮,09020030-004,料羅里,885,704129,796,659,316,982,874.54,109.92,"111Y"
,09020,金門縣,09020030,金湖鎮,09020030-005,瓊林里,1193,961151,806,567,280,1040,855.06,106.13,"111Y"
,09020,金門縣,09020030,金湖鎮,09020030-006,新湖里,3174,2557052,806,594,307,1008,905.86,112.44,"111Y"
,09020,金門縣,09020030,金湖鎮,09020030-007,溪湖里,490,349884,714,457,231,829,1244.39,174.27,"111Y"
,09020,金門縣,09020030,金湖鎮,09020030-008,蓮庵里,668,495663,742,553,297,941,748.39,100.86,"111Y"
X,09020,金門縣,09020030,金湖鎮,09020030-999,其    他,3,1127,376,343,331,404,78.77,20.96,"111Y"
,09020,金門縣,09020040,金寧鄉,09020040-001,古寧村,1128,908063,805,531,253,1027,1238.85,153.89,"111Y"
,09020,金門縣,09020040,金寧鄉,09020040-002,安美村,2017,1443480,716,536,252,879,803.92,112.33,"111Y"
,09020,金門縣,09020040,金寧鄉,09020040-003,后盤村,592,441565,746,560,285,968,725.07,97.21,"111Y"
,09020,金門縣,09020040,金寧鄉,09020040-004,湖埔村,2675,2116081,791,553,275,988,989.77,125.12,"111Y"
,09020,金門縣,09020040,金寧鄉,09020040-005,榜林村,1990,1574605,791,549,270,981,907,114.63,"111Y"
,09020,金門縣,09020040,金寧鄉,09020040-006,盤山村,2309,1787803,774,536,259,972,923.27,119.24,"111Y"
X,09020,金門縣,09020040,金寧鄉,09020040-999,其    他,0,0,0,0,0,0,0,0,"111Y"
